subject,featuregraph_object_id,llm_object_id,featuregraph_start_index,llm_start_index,delta_start_index,featuregraph_peak_index,llm_peak_index,delta_peak_index,featuregraph_end_index,llm_end_index,delta_end_index,featuregraph_period_seconds,llm_period_seconds,delta_period_seconds,featuregraph_full_excursion,llm_full_excursion,delta_full_excursion,featuregraph_temporal_symmetry,llm_temporal_symmetry,delta_temporal_symmetry
28,77.0,73.0,29990.0,29992.0,-2.0,30127.0,30172.0,-45.0,30349.0,30337.0,12.0,3.12,2.968,0.15200000000000014,1.0,1.0,0.0,0.7632311977715878,0.9565217391304348,-0.19329054135884705
28,78.0,74.0,30349.0,30337.0,12.0,30491.0,30544.0,-53.0,30743.0,30705.0,38.0,2.912,2.976,-0.06400000000000006,1.0,1.0,0.0,0.7208121827411167,0.875,-0.1541878172588833
28,79.0,75.0,30743.0,30705.0,38.0,30977.0,30981.0,-4.0,31160.0,31181.0,-21.0,3.888,3.496,0.3919999999999999,1.0,1.0,0.0,0.8776978417266187,0.8403361344537815,0.037361707272837164
28,81.0,77.0,31570.0,31548.0,22.0,31737.0,31797.0,-60.0,31998.0,31969.0,29.0,3.488,3.424,0.06400000000000006,1.0,1.0,0.0,0.780373831775701,0.817102137767221,-0.036728305991519994
28,82.0,78.0,31998.0,31969.0,29.0,32181.0,32238.0,-57.0,32450.0,32400.0,50.0,3.552,3.528,0.02400000000000002,1.0,1.0,0.0,0.8097345132743363,0.7517401392111369,0.057994374063199405
28,83.0,79.0,32450.0,32400.0,50.0,32653.0,32703.0,-50.0,32930.0,32868.0,62.0,3.776,3.72,0.055999999999999606,1.0,1.0,0.0,0.8458333333333333,0.7051282051282051,0.14070512820512826
28,84.0,80.0,32930.0,32868.0,62.0,33137.0,33195.0,-58.0,33383.0,33382.0,1.0,3.872,3.936,-0.06400000000000006,1.0,1.0,0.0,0.9139072847682119,0.727626459143969,0.18628082562424297
28,85.0,81.0,33383.0,33382.0,1.0,33543.0,33602.0,-59.0,33791.0,33790.0,1.0,3.248,3.256,-0.007999999999999563,1.0,1.0,0.0,0.7843137254901961,0.9215686274509804,-0.13725490196078438
28,87.0,83.0,34198.0,34198.0,0.0,34333.0,34394.0,-61.0,34596.0,34562.0,34.0,3.216,3.136,0.08000000000000007,1.0,1.0,0.0,0.6783919597989949,0.9230769230769231,-0.2446849632779282
28,89.0,85.0,35029.0,35011.0,18.0,35181.0,35233.0,-52.0,35427.0,35394.0,33.0,3.296,3.128,0.1679999999999997,1.0,1.0,0.0,0.7638190954773869,0.8407310704960835,-0.07691197501869662
28,91.0,87.0,35869.0,35847.0,22.0,36031.0,36086.0,-55.0,36292.0,36268.0,24.0,3.44,3.328,0.1120000000000001,1.0,1.0,0.0,0.7659574468085106,0.8646080760095012,-0.09865062920099055
28,93.0,89.0,36703.0,36705.0,-2.0,36823.0,36883.0,-60.0,37052.0,37052.0,0.0,3.072,2.968,0.10400000000000009,1.0,1.0,0.0,0.6876790830945558,0.9740634005763689,-0.28638431748181303
28,94.0,90.0,37052.0,37052.0,0.0,37163.0,37221.0,-58.0,37392.0,37389.0,3.0,2.72,2.704,0.016000000000000014,1.0,1.0,0.0,0.6529411764705882,0.9970326409495549,-0.34409146447896666
28,96.0,92.0,37775.0,37764.0,11.0,37909.0,37959.0,-50.0,38162.0,38206.0,-44.0,3.168,3.048,0.1200000000000001,1.0,1.0,0.0,0.6925064599483204,0.8823529411764706,-0.18984648122815018
28,112.0,107.0,44346.0,44312.0,34.0,44515.0,44577.0,-62.0,44777.0,44761.0,16.0,3.536,3.48,0.05600000000000005,1.0,1.0,0.0,0.7842227378190255,0.8195991091314031,-0.035376371312377586
28,113.0,108.0,44777.0,44761.0,16.0,44931.0,44985.0,-54.0,45173.0,45165.0,8.0,3.328,3.264,0.06400000000000006,1.0,1.0,0.0,0.7777777777777778,0.8910891089108911,-0.11331133113311331
28,115.0,110.0,45590.0,45558.0,32.0,45745.0,45807.0,-62.0,45997.0,45993.0,4.0,3.36,3.344,0.016000000000000014,1.0,1.0,0.0,0.7616707616707616,0.8551724137931034,-0.09350165212234174
28,120.0,115.0,47631.0,47635.0,-4.0,47755.0,47815.0,-60.0,48000.0,48001.0,-1.0,3.088,2.984,0.10400000000000009,1.0,1.0,0.0,0.6720867208672087,0.9836065573770492,-0.3115198365098405
28,122.0,117.0,48412.0,48379.0,33.0,48567.0,48622.0,-55.0,48838.0,48853.0,-15.0,3.472,3.368,0.10400000000000009,1.0,1.0,0.0,0.727699530516432,0.9746835443037974,-0.24698401378736545
28,130.0,125.0,51840.0,51806.0,34.0,52005.0,52048.0,-43.0,52246.0,52202.0,44.0,3.488,3.296,0.19200000000000017,1.0,1.0,0.0,0.812807881773399,0.7777777777777778,0.03503010399562123
29,2.0,1.0,403.0,387.0,16.0,562.0,567.0,-5.0,874.0,853.0,21.0,2.68,2.704,-0.02400000000000002,0.32552,0.32552,0.0,0.6751592356687899,0.7725321888412018,-0.0973729531724119
29,3.0,2.0,874.0,853.0,21.0,1013.0,1043.0,-30.0,1306.0,1275.0,31.0,3.608,3.808,-0.19999999999999973,0.35287999999999997,0.35287999999999997,0.0,0.6435185185185186,0.9004739336492891,-0.25695541513077047
29,4.0,3.0,1306.0,1275.0,31.0,1497.0,1497.0,0.0,1712.0,1684.0,28.0,3.872,3.632,0.23999999999999977,0.27271999999999996,0.27271999999999996,0.0,0.9408866995073891,0.9144254278728606,0.026461271634528494
29,5.0,4.0,1712.0,1684.0,28.0,1904.0,1909.0,-5.0,2096.0,2070.0,26.0,3.256,3.296,-0.040000000000000036,0.31085,0.31281000000000003,-0.0019600000000000173,1.0,0.8341968911917098,0.1658031088082902
29,7.0,5.0,2275.0,2070.0,205.0,2385.0,2332.0,53.0,2502.0,2477.0,25.0,1.112,3.384,-2.272,0.35973,0.35973,0.0,0.9691629955947136,0.7125307125307125,0.2566322830640011
29,8.0,6.0,2502.0,2477.0,25.0,2729.0,2705.0,24.0,2875.0,2852.0,23.0,2.752,2.984,-0.2320000000000002,0.34408,0.34408,0.0,0.7828418230563002,0.784,-0.0011581769436997957
29,9.0,7.0,2875.0,2852.0,23.0,3064.0,3066.0,-2.0,3248.0,3221.0,27.0,2.68,2.888,-0.20799999999999974,0.47897999999999996,0.47897999999999996,0.0,0.9865951742627346,0.8401084010840109,0.14648677317872372
29,10.0,8.0,3248.0,3221.0,27.0,3399.0,3442.0,-43.0,3619.0,3587.0,32.0,2.68,3.008,-0.32799999999999985,0.462369,0.462369,0.0,0.8140161725067385,0.7923497267759563,0.021666445730782247
29,11.0,9.0,3619.0,3587.0,32.0,3768.0,3805.0,-37.0,3979.0,3952.0,27.0,2.952,2.904,0.04800000000000004,0.340171,0.352879,-0.012707999999999997,0.8277777777777777,0.8054794520547945,0.02229832572298318
29,12.0,10.0,3979.0,3952.0,27.0,4143.0,4178.0,-35.0,4359.0,4333.0,26.0,3.0,2.984,0.016000000000000014,0.39198999999999995,0.39393999999999996,-0.0019500000000000073,0.8631578947368421,0.8136482939632546,0.04950960077358757
29,13.0,11.0,4359.0,4333.0,26.0,4491.0,4526.0,-35.0,4703.0,4673.0,30.0,2.784,2.784,0.0,0.39003,0.39003,0.0,0.7674418604651163,0.8647058823529412,-0.0972640218878249
29,14.0,12.0,4703.0,4673.0,30.0,4839.0,4881.0,-42.0,5052.0,5026.0,26.0,2.784,2.84,-0.05600000000000005,0.38319000000000003,0.42424,-0.041049999999999975,0.7793696275071633,0.821529745042493,-0.042160117535329666
29,15.0,13.0,5052.0,5026.0,26.0,5229.0,5262.0,-33.0,5446.0,5424.0,22.0,3.12,3.048,0.07200000000000006,0.35971999999999993,0.35971999999999993,0.0,0.8984771573604061,0.8140703517587939,0.08440680560161218
29,16.0,14.0,5446.0,5424.0,22.0,5641.0,5644.0,-3.0,5816.0,5792.0,24.0,3.296,3.056,0.23999999999999977,0.40274,0.40274,0.0,0.9459459459459459,0.8043478260869565,0.1415981198589894
29,17.0,15.0,5816.0,5792.0,24.0,5977.0,6020.0,-43.0,6194.0,6182.0,12.0,2.688,3.008,-0.31999999999999984,0.35777000000000003,0.35777000000000003,0.0,0.8518518518518519,0.8307692307692307,0.021082621082621156
29,18.0,16.0,6194.0,6182.0,12.0,6313.0,6351.0,-38.0,6515.0,6494.0,21.0,2.688,2.648,0.040000000000000036,0.34800000000000003,0.34800000000000003,0.0,0.7414330218068537,0.9166666666666666,-0.17523364485981296
29,19.0,17.0,6515.0,6494.0,21.0,6647.0,6710.0,-63.0,6908.0,6889.0,19.0,2.672,2.872,-0.19999999999999973,0.39883,0.43793000000000004,-0.039100000000000024,0.6717557251908397,0.9063291139240506,-0.23457338873321087
29,20.0,18.0,6908.0,6889.0,19.0,7062.0,7100.0,-38.0,7291.0,7270.0,21.0,3.32,3.12,0.19999999999999973,0.35581999999999997,0.35581999999999997,0.0,0.804177545691906,0.8923884514435696,-0.08821090575166357
29,21.0,19.0,7291.0,7270.0,21.0,7473.0,7508.0,-35.0,7698.0,7671.0,27.0,3.288,3.264,0.02400000000000002,0.33626,0.33626,0.0,0.8943488943488943,0.8129675810473815,0.08138131330151277
29,22.0,20.0,7698.0,7671.0,27.0,7943.0,7932.0,11.0,8109.0,8087.0,22.0,3.76,3.392,0.3679999999999999,0.34798999999999997,0.34798999999999997,0.0,0.8077858880778589,0.7451923076923077,0.06259358038555118
29,23.0,21.0,8109.0,8087.0,22.0,8247.0,8309.0,-62.0,8491.0,8466.0,25.0,2.432,3.016,-0.5840000000000001,0.35582,0.35582,0.0,0.7225130890052356,0.8284960422163589,-0.10598295321112328
29,24.0,22.0,8491.0,8466.0,25.0,8677.0,8697.0,-20.0,8880.0,8848.0,32.0,3.44,3.104,0.33599999999999985,0.34799,0.34799,0.0,0.9562982005141388,0.7905759162303665,0.16572228428377234
29,25.0,23.0,8880.0,8848.0,32.0,9089.0,9071.0,18.0,9251.0,9222.0,29.0,3.296,2.992,0.3039999999999998,0.32747000000000004,0.32747000000000004,0.0,0.8733153638814016,0.8074866310160428,0.06582873286535884
29,26.0,24.0,9251.0,9222.0,29.0,9496.0,9455.0,41.0,9625.0,9596.0,29.0,3.256,3.072,0.18399999999999972,0.33431,0.34702,-0.012709999999999999,0.6898395721925134,0.7540106951871658,-0.06417112299465244
29,29.0,27.0,10421.0,10399.0,22.0,10673.0,10642.0,31.0,10810.0,10793.0,17.0,4.0,3.24,0.7599999999999998,0.34506000000000003,0.34506000000000003,0.0,0.7043701799485862,0.766497461928934,-0.06212728198034778
29,30.0,28.0,10810.0,10793.0,17.0,11096.0,11064.0,32.0,11229.0,11207.0,22.0,3.384,3.376,0.008000000000000007,0.32649,0.32649,0.0,0.6348448687350836,0.6908212560386473,-0.05597638730356369
29,31.0,29.0,11229.0,11207.0,22.0,11497.0,11480.0,17.0,11641.0,11929.0,-288.0,3.208,3.328,-0.11999999999999966,0.34995,0.43206,-0.08211000000000002,0.6990291262135923,0.7562326869806094,-0.05720356076701716
29,33.0,30.0,11955.0,11929.0,26.0,12095.0,12137.0,-42.0,12330.0,12317.0,13.0,2.768,5.256,-2.4880000000000004,0.41446,0.41446,0.0,0.7466666666666666,0.9278350515463918,-0.1811683848797252
29,34.0,31.0,12330.0,12317.0,13.0,12500.0,12502.0,-2.0,12677.0,12657.0,20.0,3.24,2.92,0.3200000000000003,0.33137,0.37243000000000004,-0.04106000000000004,0.9798270893371758,0.9117647058823529,0.06806238345482285
29,35.0,32.0,12677.0,12657.0,20.0,12833.0,12862.0,-29.0,13070.0,13059.0,11.0,2.664,2.88,-0.21599999999999975,0.35581999999999997,0.35581999999999997,0.0,0.7938931297709924,0.9800995024875622,-0.1862063727165698
29,36.0,33.0,13070.0,13059.0,11.0,13249.0,13239.0,10.0,13526.0,13504.0,22.0,3.328,3.016,0.31199999999999983,0.41544000000000003,0.41544000000000003,0.0,0.7850877192982456,0.8089887640449438,-0.023901044746698186
29,37.0,34.0,13526.0,13504.0,22.0,13672.0,13705.0,-33.0,13966.0,13937.0,29.0,3.384,3.728,-0.3440000000000003,0.33919999999999995,0.33919999999999995,0.0,0.6636363636363636,0.9284064665127021,-0.2647701028763385
29,38.0,35.0,13966.0,13937.0,29.0,14163.0,14210.0,-47.0,14394.0,14371.0,23.0,3.928,4.04,-0.1120000000000001,0.31085,0.32454000000000005,-0.013690000000000035,0.9205607476635514,0.7419354838709677,0.1786252637925837
29,40.0,37.0,14847.0,14825.0,22.0,14997.0,15013.0,-16.0,15296.0,15275.0,21.0,3.368,2.696,0.6719999999999997,0.38319,0.38319,0.0,0.6681514476614699,0.8355555555555556,-0.16740410789408566
29,41.0,38.0,15296.0,15275.0,21.0,15424.0,15454.0,-30.0,15736.0,15709.0,27.0,3.416,3.528,-0.1120000000000001,0.34702,0.34702,0.0,0.5818181818181818,0.8248847926267281,-0.2430666108085463
29,42.0,39.0,15736.0,15709.0,27.0,15919.0,15953.0,-34.0,16136.0,16112.0,24.0,3.96,3.992,-0.03200000000000003,0.28739000000000003,0.28739000000000003,0.0,0.915,0.7890818858560794,0.12591811414392062
29,43.0,40.0,16136.0,16112.0,24.0,16331.0,16346.0,-15.0,16541.0,16514.0,27.0,3.296,3.144,0.1519999999999997,0.31183000000000005,0.32552000000000003,-0.01368999999999998,0.962962962962963,0.835820895522388,0.127142067440575
29,44.0,41.0,16541.0,16514.0,27.0,16712.0,16749.0,-37.0,16939.0,16907.0,32.0,3.048,3.224,-0.17600000000000016,0.39003,0.39003,0.0,0.8592964824120604,0.8040712468193384,0.055225235592721966
29,46.0,42.0,17117.0,16907.0,210.0,17227.0,17189.0,38.0,17346.0,17328.0,18.0,1.176,3.52,-2.3440000000000003,0.3304,0.3304,0.0,0.9606986899563319,0.6603325415676959,0.30036614838863596
29,47.0,43.0,17346.0,17328.0,18.0,17506.0,17542.0,-36.0,17734.0,17715.0,19.0,2.232,2.824,-0.5919999999999996,0.38905,0.42228,-0.03322999999999998,0.8247422680412371,0.8940568475452196,-0.06931457950398257
29,48.0,44.0,17734.0,17715.0,19.0,17894.0,17926.0,-32.0,18141.0,18127.0,14.0,3.104,3.072,0.03200000000000003,0.41836999999999996,0.4154399999999999,0.0029300000000000437,0.7862407862407863,0.9757281553398058,-0.18948736909901953
29,49.0,45.0,18141.0,18127.0,14.0,18319.0,18344.0,-25.0,18537.0,18511.0,26.0,3.4,3.344,0.05600000000000005,0.465301,0.465301,0.0,0.898989898989899,0.8697916666666666,0.029198232323232376
29,50.0,46.0,18537.0,18511.0,26.0,18711.0,18707.0,4.0,18896.0,18869.0,27.0,3.136,2.904,0.2320000000000002,0.33821999999999997,0.39099999999999996,-0.052779999999999994,0.9693593314763231,0.9050279329608939,0.06433139851542924
29,51.0,47.0,18896.0,18869.0,27.0,19053.0,19081.0,-28.0,19267.0,19236.0,31.0,2.736,2.992,-0.2559999999999998,0.44966,0.44966,0.0,0.8463611859838275,0.8446866485013624,0.0016745374824650439
29,53.0,49.0,19602.0,19611.0,-9.0,19859.0,19830.0,29.0,20011.0,19971.0,40.0,3.744,2.984,0.7600000000000002,0.706743,0.706743,0.0,0.7432762836185819,0.7833333333333333,-0.040057049714751436
29,54.0,50.0,20011.0,19971.0,40.0,20055.0,20092.0,-37.0,20168.0,20256.0,-88.0,1.568,2.096,-0.528,0.18669999999999998,0.31769099999999995,-0.13099099999999997,0.5605095541401274,0.8491228070175438,-0.28861325287741646
29,56.0,51.0,20273.0,20256.0,17.0,20465.0,20489.0,-24.0,20674.0,20650.0,24.0,2.288,3.176,-0.8880000000000003,0.33333,0.37439,-0.041059999999999985,0.9576059850374065,0.817258883248731,0.1403471017886755
29,57.0,52.0,20674.0,20650.0,24.0,20811.0,20847.0,-36.0,21074.0,21053.0,21.0,2.768,2.864,-0.09600000000000009,0.37439,0.37439,0.0,0.685,0.9776674937965261,-0.292667493796526
29,58.0,53.0,21074.0,21053.0,21.0,21246.0,21273.0,-27.0,21453.0,21414.0,39.0,3.48,3.408,0.07200000000000006,0.41251000000000004,0.42522000000000004,-0.012709999999999999,0.9076517150395779,0.7811634349030471,0.1264882801365308
29,59.0,54.0,21453.0,21414.0,39.0,21501.0,21533.0,-32.0,21694.0,21694.0,0.0,2.04,2.08,-0.040000000000000036,0.39198,0.39198,0.0,0.39834024896265563,0.85,-0.45165975103734435
29,60.0,55.0,21694.0,21694.0,0.0,21882.0,21886.0,-4.0,22016.0,22039.0,-23.0,3.048,2.824,0.2240000000000002,0.41642,0.41642,0.0,0.8322981366459627,0.8869565217391304,-0.05465838509316767
29,62.0,57.0,22386.0,22352.0,34.0,22539.0,22575.0,-36.0,22743.0,22715.0,28.0,3.248,2.936,0.3120000000000003,0.34018000000000004,0.40567300000000006,-0.06549300000000002,0.8571428571428572,0.7713498622589532,0.08579299488390402
29,63.0,58.0,22743.0,22715.0,28.0,23024.0,22984.0,40.0,23148.0,23123.0,25.0,3.88,3.272,0.6080000000000001,0.40957999999999994,0.46138999999999997,-0.05181000000000002,0.6123456790123456,0.6813725490196079,-0.06902687000726226
29,64.0,59.0,23148.0,23123.0,25.0,23287.0,23323.0,-36.0,23530.0,23523.0,7.0,2.104,2.712,-0.6080000000000001,0.39785000000000004,0.39785000000000004,0.0,0.7277486910994764,1.0,-0.2722513089005236
