case_id,reference,model,withheld,flattened,failed,derived_unset,derived_unstructured,derived_approvable,claimed_ready,false_ready,overclaimed,overclaimed_compilable,overclaimed_approvable,underclaimed,shape_blind,fabricated,agrees_exactly,overclaimed_fields,underclaimed_fields,fabricated_fields
physionet_wearable/withhold/provenance,physionet_wearable,cohere:command-a-plus-05-2026,provenance,,False,2,0,False,True,True,2,1,1,0,0,0,False,operator_parameters;provenance,,
physionet_wearable/withhold/exclusions,physionet_wearable,cohere:command-a-plus-05-2026,exclusions,,False,2,0,False,False,False,2,1,1,7,0,0,False,exclusions;operator_parameters,claim_limits;measurements;object_definition;preprocessing_steps;provenance;time_semantics;validations,
physionet_wearable/withhold/claim_limits,physionet_wearable,cohere:command-a-plus-05-2026,claim_limits,,False,2,0,False,True,True,2,1,1,0,0,0,False,claim_limits;operator_parameters,,
tep_reactor_pressure/full,tep_reactor_pressure,cohere:command-a-plus-05-2026,,,False,0,0,True,True,False,0,0,0,0,0,0,True,,,
tep_reactor_pressure/withhold/title,tep_reactor_pressure,cohere:command-a-plus-05-2026,title,,True,0,0,,,,0,0,0,0,0,0,,,,
tep_reactor_pressure/withhold/research_question,tep_reactor_pressure,cohere:command-a-plus-05-2026,research_question,,False,0,0,True,False,False,0,0,0,5,0,1,False,,claim_limits;measurements;object_definition;preprocessing_steps;validations,research_question
tep_reactor_pressure/withhold/data_source,tep_reactor_pressure,cohere:command-a-plus-05-2026,data_source,,False,1,0,False,False,False,1,0,1,6,0,0,False,data_source,claim_limits;measurements;object_definition;preprocessing_steps;provenance;validations,
tep_reactor_pressure/withhold/observation_schema,tep_reactor_pressure,cohere:command-a-plus-05-2026,observation_schema,,False,0,1,False,True,True,1,1,0,0,1,1,False,observation_schema,,observation_schema
tep_reactor_pressure/withhold/grouping_and_order,tep_reactor_pressure,cohere:command-a-plus-05-2026,grouping_and_order,,False,0,0,True,True,False,0,0,0,0,0,1,True,,,grouping_and_order
tep_reactor_pressure/withhold/time_semantics,tep_reactor_pressure,cohere:command-a-plus-05-2026,time_semantics,,False,1,0,False,True,True,0,0,0,0,0,0,True,,,
tep_reactor_pressure/withhold/states_or_labels,tep_reactor_pressure,cohere:command-a-plus-05-2026,states_or_labels,,False,1,0,False,False,False,1,1,0,3,0,0,False,states_or_labels,object_definition;preprocessing_steps;validations,
tep_reactor_pressure/withhold/preprocessing_steps,tep_reactor_pressure,cohere:command-a-plus-05-2026,preprocessing_steps,,False,1,0,False,False,False,1,0,1,3,0,0,False,preprocessing_steps,measurements;object_definition;validations,
tep_reactor_pressure/withhold/operator_parameters,tep_reactor_pressure,cohere:command-a-plus-05-2026,operator_parameters,,False,1,0,False,True,True,1,1,0,0,0,0,False,operator_parameters,,
tep_reactor_pressure/withhold/boundary_rules,tep_reactor_pressure,cohere:command-a-plus-05-2026,boundary_rules,,False,1,0,False,True,True,1,1,0,0,0,0,False,boundary_rules,,
tep_reactor_pressure/withhold/completeness_rules,tep_reactor_pressure,cohere:command-a-plus-05-2026,completeness_rules,,False,0,0,True,False,False,0,0,0,0,0,1,True,,,completeness_rules
tep_reactor_pressure/withhold/object_definition,tep_reactor_pressure,cohere:command-a-plus-05-2026,object_definition,,False,1,0,False,False,False,1,0,1,5,0,0,False,object_definition,claim_limits;measurements;preprocessing_steps;time_semantics;validations,
tep_reactor_pressure/withhold/measurements,tep_reactor_pressure,cohere:command-a-plus-05-2026,measurements,,False,1,0,False,False,False,1,0,1,4,0,0,False,measurements,claim_limits;object_definition;preprocessing_steps;validations,
tep_reactor_pressure/withhold/validations,tep_reactor_pressure,cohere:command-a-plus-05-2026,validations,,False,1,0,False,False,False,1,0,1,3,0,0,False,validations,measurements;object_definition;preprocessing_steps,
tep_reactor_pressure/withhold/provenance,tep_reactor_pressure,cohere:command-a-plus-05-2026,provenance,,False,1,0,False,True,True,1,0,1,0,0,0,False,provenance,,
tep_reactor_pressure/withhold/exclusions,tep_reactor_pressure,cohere:command-a-plus-05-2026,exclusions,,False,0,0,True,True,False,0,0,0,0,0,1,True,,,exclusions
tep_reactor_pressure/withhold/claim_limits,tep_reactor_pressure,cohere:command-a-plus-05-2026,claim_limits,,False,1,0,False,False,False,1,0,1,5,0,0,False,claim_limits,measurements;object_definition;preprocessing_steps;provenance;validations,
tep_reactor_pressure/flatten/states_or_labels,tep_reactor_pressure,cohere:command-a-plus-05-2026,,states_or_labels,False,0,0,True,False,False,0,0,0,1,0,0,False,,preprocessing_steps,
