llm_object_id,start_index,peak_index,end_index,is_complete,period_seconds,full_excursion,temporal_symmetry
59,19732,19878,20089,True,2.784,0.924731,0.817927171
60,20089,20241,20455,True,2.904,0.913001,0.830601093
61,20455,20608,20833,True,2.936,0.89932,0.80952381
62,20833,20994,21189,True,3.088,0.920821,0.904494382
63,21189,21336,21541,True,2.736,0.930596,0.835227273
64,21541,21691,21896,True,2.84,0.913978,0.845070423
65,21896,22044,22261,True,2.824,0.917889,0.810958904
66,22261,22418,22627,True,2.992,0.925709,0.857923497
67,22627,22783,22990,True,2.92,0.920821,0.859504132
68,22990,23151,23347,True,2.944,0.921799,0.901960784
69,23347,23495,23695,True,2.752,0.929619,0.850574713
70,23695,23842,24025,True,2.776,0.89345,0.890909091
71,24025,24161,24354,True,2.552,0.917889,0.82674772
72,24354,24498,24697,True,2.696,0.902248,0.839650146
73,24697,24855,25064,True,2.856,0.908113,0.861035422
74,25064,25215,25425,True,2.88,0.904203,0.836565097
75,25425,25577,25764,True,2.896,0.88759,0.896755162
76,25764,25912,26119,True,2.68,0.908113,0.833802817
77,26119,26276,26481,True,2.912,0.913001,0.867403315
78,26481,26639,26835,True,2.904,0.910068,0.892655367
79,26835,26981,27181,True,2.736,0.926686,0.843930636
80,27181,27339,27554,True,2.864,0.909091,0.847184987
81,27554,27713,27934,True,2.992,0.902248,0.836842105
82,27934,28085,28301,True,2.976,0.909091,0.822888283
83,28301,28452,28662,True,2.936,0.88759,0.836565097
84,28662,28817,29022,True,2.92,0.913978,0.861111111
85,29022,29178,29379,True,2.888,0.914956,0.87394958
86,29379,29529,29736,True,2.808,0.89541,0.840336134
87,29736,29886,30091,True,2.856,0.924731,0.845070423
88,30091,30242,30450,True,2.848,0.918866,0.841225627
89,30450,30599,30803,True,2.856,0.901271,0.844192635
90,30803,30957,31167,True,2.864,0.910068,0.846153846
91,31167,31328,31532,True,2.968,0.905181,0.882191781
92,31532,31691,31914,True,2.904,0.911046,0.832460733
93,31914,32071,32285,True,3.04,0.88074,0.846361186
94,32285,32436,32649,True,2.92,0.913978,0.82967033
95,32649,32804,33019,True,2.944,0.908113,0.837837838
96,33019,33174,33394,True,2.96,0.912023,0.826666667
97,33394,33548,33755,True,2.992,0.903226,0.853185596
98,33755,33908,34116,True,2.88,0.904203,0.847645429
99,34116,34273,34487,True,2.92,0.906158,0.846361186
100,34487,34645,34857,True,2.976,0.903226,0.854054054
101,34857,35013,35217,True,2.944,0.915934,0.866666667
102,35217,35371,35570,True,2.864,0.88368,0.872521246
103,35570,35713,35929,True,2.736,0.912023,0.796657382
104,35929,36086,36298,True,2.984,0.912023,0.850948509
105,36298,36446,36629,True,2.88,0.908113,0.894259819
106,36629,36776,36985,True,2.64,0.919844,0.825842697
107,36985,37144,37340,True,2.944,0.926686,0.895774648
108,37340,37491,37694,True,2.776,0.926686,0.853107345
109,37694,37841,38052,True,2.8,0.910068,0.82122905
110,38052,38209,38411,True,2.944,0.904203,0.874651811
111,38411,38562,38785,True,2.824,0.901271,0.807486631
112,38785,38948,39165,True,3.088,0.900293,0.857894737
113,39165,39331,39532,True,3.064,0.925709,0.904632153
114,39532,39681,39888,True,2.8,0.925709,0.837078652
115,39888,40041,40262,True,2.88,0.89834,0.818181818
116,40262,40419,40634,True,3.024,0.921799,0.844086022
117,40634,40796,41018,True,3.016,0.918866,0.84375
118,41018,41174,41374,True,3.024,0.901271,0.876404494
119,41374,41520,41721,True,2.768,0.901271,0.841498559
120,41721,41869,42073,True,2.792,0.914956,0.840909091
121,42073,42222,42434,True,2.824,0.918866,0.825484765
122,42434,42581,42784,True,2.872,0.89052,0.84
123,42784,42926,43137,True,2.76,0.89541,0.804532578
124,43137,43289,43493,True,2.904,0.926686,0.853932584
125,43493,43694,43910,True,3.24,1,0.964028777
126,43910,44144,44339,True,3.6,1,0.909090909
127,44339,44485,44685,True,2.728,0.8827,0.843930636
128,44685,44834,45039,True,2.792,0.906158,0.84180791
129,45039,45190,45395,True,2.848,0.905181,0.848314607
130,45395,45551,45751,True,2.888,0.89932,0.876404494
131,45751,45893,46112,True,2.736,0.912023,0.786703601
132,46112,46272,46488,True,3.032,0.908113,0.85106383
133,46488,46643,46848,True,2.968,0.906158,0.861111111
134,46848,46996,47195,True,2.824,0.912023,0.853025937
135,47195,47346,47554,True,2.8,0.913978,0.841225627
136,47554,47702,47901,True,2.848,0.89052,0.853025937
137,47901,48053,48266,True,2.808,0.921799,0.832876712
138,48266,48425,48627,True,2.976,0.89834,0.880886427
139,48627,48777,48985,True,2.816,0.88074,0.837988827
140,48985,49134,49342,True,2.856,0.912023,0.834733894
141,49342,49495,49703,True,2.888,0.89541,0.847645429
142,49703,49854,50054,True,2.872,0.918866,0.86039886
143,50054,50200,50398,True,2.768,0.913978,0.848837209
144,50398,50544,50746,True,2.752,0.924731,0.83908046
145,50746,50899,51098,True,2.84,0.926686,0.869318182
146,51098,51258,51465,True,2.872,0.906158,0.871934605
147,51465,51621,51822,True,2.904,0.89247,0.87394958
148,51822,51973,52184,True,2.816,0.912023,0.834254144
149,52184,52338,52533,True,2.92,0.87781,0.88252149
150,52533,52669,52861,True,2.648,0.928641,0.829268293
151,52861,52992,53184,True,2.584,0.947214,0.811145511
152,53184,53320,53521,True,2.624,0.923754,0.807121662
153,53521,53663,53871,True,2.744,0.909091,0.811428571
154,53871,54018,54236,True,2.84,0.926686,0.805479452
155,54236,54386,54599,True,2.944,0.89443,0.826446281
156,54599,54749,54957,True,2.904,0.916911,0.837988827
157,54957,55102,55311,True,2.824,0.923754,0.81920904
158,55311,55462,55666,True,2.88,0.918866,0.850704225
159,55666,55806,56016,True,2.752,0.89052,0.8
160,56016,56155,56356,True,2.792,0.89932,0.817647059
161,56356,56503,56709,True,2.784,0.915934,0.83286119
162,56709,56862,57078,True,2.872,0.900293,0.829268293
163,57078,57236,57464,True,2.992,0.905181,0.81865285
164,57464,57623,57836,True,3.096,0.88368,0.85483871
165,57836,57982,58187,True,2.872,0.915934,0.831908832
166,58187,58340,58551,True,2.864,0.911046,0.840659341
167,58551,58706,58918,True,2.928,0.88856,0.844686649
168,58918,59071,59274,True,2.92,0.914956,0.859550562
169,59274,59428,59633,True,2.856,0.903226,0.857938719
170,59633,59788,60000,False,2.88,0.8739,0.844686649
