featuregraph_object_id,llm_object_id,featuregraph_start_index,llm_start_index,delta_start_index,featuregraph_peak_index,llm_peak_index,delta_peak_index,featuregraph_end_index,llm_end_index,delta_end_index,featuregraph_period_seconds,llm_period_seconds,delta_period_seconds,featuregraph_full_excursion,llm_full_excursion,delta_full_excursion,featuregraph_temporal_symmetry,llm_temporal_symmetry,delta_temporal_symmetry
11,11,3124.0,3076,48.0,3228.0,3209,19.0,3431.0,3384,47.0,2.464,2.432,0.03200000000000003,0.926686,0.934506,-0.007819999999999938,0.6775244299674268,0.863636364,-0.1861119340325732
12,12,3431.0,3384,47.0,3532.0,3511,21.0,3754.0,3708,46.0,2.432,2.416,0.016000000000000014,0.907136,0.926686,-0.019549999999999956,0.6253869969040248,0.783950617,-0.15856362009597524
13,13,3754.0,3708,46.0,3861.0,3840,21.0,4090.0,4044,46.0,2.632,2.632,0.0,0.88954,0.907136,-0.017596000000000056,0.6369047619047619,0.785714286,-0.14880952409523818
14,14,4090.0,4044,46.0,4195.0,4178,17.0,4423.0,4377,46.0,2.672,2.704,-0.03200000000000003,0.89932,0.89345,0.005870000000000042,0.6306306306306306,0.804804805,-0.17417417436936933
15,15,4423.0,4377,46.0,4526.0,4510,16.0,4791.0,4730,61.0,2.648,2.656,-0.008000000000000007,0.81525,0.82894,-0.01368999999999998,0.5597826086956521,0.753541076,-0.19375846730434787
16,16,4791.0,4730,61.0,4898.0,4870,28.0,5137.0,5088,49.0,2.976,2.88,0.09600000000000009,0.84555,0.83088,0.014670000000000072,0.6184971098265897,0.782122905,-0.16362579517341036
17,17,5137.0,5088,49.0,5244.0,5222,22.0,5476.0,5426,50.0,2.768,2.816,-0.04800000000000004,0.8357800000000001,0.83578,1.1102230246251565e-16,0.6312684365781711,0.792899408,-0.16163097142182892
18,18,5476.0,5426,50.0,5571.0,5561,10.0,5849.0,5781,68.0,2.616,2.712,-0.09600000000000009,0.70674,0.70674,0.0,0.5093833780160858,0.76056338,-0.2511800019839142
19,19,5849.0,5781,68.0,5927.0,5920,7.0,6201.0,6148,53.0,2.848,2.872,-0.02400000000000002,0.65396,0.64027,0.01368999999999998,0.4431818181818182,0.757493188,-0.3143113698181818
20,20,6201.0,6148,53.0,6305.0,6279,26.0,6543.0,6487,56.0,3.024,2.872,0.15200000000000014,0.76148,0.78397,-0.0224899999999999,0.6081871345029239,0.772861357,-0.16467422249707608
21,21,6543.0,6487,56.0,6646.0,6629,17.0,6932.0,6762,170.0,2.728,2.8,-0.07199999999999962,0.74878,0.74878,0.0,0.5295629820051414,0.967272727,-0.4377097449948586
22,22,6932.0,6762,170.0,7041.0,7012,29.0,7343.0,7152,191.0,3.16,3.064,0.09600000000000009,0.75269,0.73802,0.01466999999999996,0.5304136253041363,0.717948718,-0.18753509269586377
23,23,7343.0,7152,191.0,7404.0,7415,-11.0,7436.0,7553,-117.0,2.904,3.224,-0.3200000000000003,0.41056,0.70577,-0.29521000000000003,0.6881720430107527,0.688279302,-0.00010725898924723865
25,24,7689.0,7553,136.0,7748.0,7769,-21.0,7758.0,7905,-147.0,2.44,2.832,-0.3919999999999999,0.35582,0.78397,-0.4281499999999999,0.289855072463768,0.772727273,-0.482872200536232
27,25,8041.0,7905,136.0,8143.0,8135,8.0,8282.0,8347,-65.0,2.768,2.928,-0.16000000000000014,0.74095,0.75171,-0.010759999999999992,0.8464730290456431,0.959276018,-0.11280298895435681
29,26,8416.0,8347,69.0,8493.0,8499,-6.0,8510.0,8693,-183.0,1.576,2.912,-1.3359999999999999,0.4525999999999999,0.77322,-0.3206200000000001,0.3617021276595744,0.878612717,-0.5169105893404256
31,27,8759.0,8693,66.0,8872.0,8844,28.0,9105.0,9054,51.0,2.728,2.76,-0.031999999999999584,0.7829900000000001,0.76148,0.02151000000000003,0.653179190751445,0.836565097,-0.183385906248555
32,28,9105.0,9054,51.0,9214.0,9199,15.0,9442.0,9394,48.0,2.736,2.84,-0.10399999999999965,0.89052,0.8827,0.007819999999999938,0.6468842729970327,0.852941176,-0.2060569030029673
33,29,9442.0,9394,48.0,9547.0,9540,7.0,9812.0,9746,66.0,2.664,2.728,-0.06400000000000006,0.86022,0.87879,-0.018569999999999975,0.5675675675675675,0.829545455,-0.26197788743243244
34,30,9812.0,9746,66.0,9930.0,9903,27.0,10154.0,10095,59.0,3.064,2.904,0.16000000000000014,0.911046,0.8739,0.03714600000000001,0.6900584795321638,0.899713467,-0.20965498746783617
35,31,10154.0,10095,59.0,10272.0,10248,24.0,10485.0,10429,56.0,2.736,2.76,-0.023999999999999577,0.929619,0.911046,0.01857299999999995,0.7129909365558913,0.916167665,-0.20317672844410872
36,32,10485.0,10429,56.0,10598.0,10570,28.0,10806.0,10750,56.0,2.608,2.576,0.03200000000000003,0.917889,0.929619,-0.011730000000000018,0.7040498442367602,0.878504673,-0.1744548287632398
37,33,10806.0,10750,56.0,10915.0,10888,27.0,11123.0,11064,59.0,2.536,2.544,-0.008000000000000007,0.956012,0.956012,0.0,0.6876971608832807,0.878980892,-0.19128373111671926
38,34,11123.0,11064,59.0,11231.0,11207,24.0,11441.0,11392,49.0,2.528,2.552,-0.02400000000000002,0.916911,0.954057,-0.03714600000000001,0.679245283018868,0.87195122,-0.19270593698113203
39,35,11441.0,11392,49.0,11541.0,11527,14.0,11745.0,11698,47.0,2.48,2.56,-0.08000000000000007,0.89247,0.908113,-0.015642999999999962,0.6578947368421053,0.882352941,-0.22445820415789464
40,36,11745.0,11698,47.0,11841.0,11828,13.0,12062.0,12011,51.0,2.4,2.408,-0.008000000000000007,0.905181,0.900293,0.0048880000000000035,0.6056782334384858,0.830670927,-0.2249926935615142
41,37,12062.0,12011,51.0,12165.0,12151,14.0,12394.0,12345,49.0,2.592,2.584,0.008000000000000007,0.900293,0.905181,-0.0048880000000000035,0.6204819277108433,0.838323353,-0.21784142528915673
42,38,12394.0,12345,49.0,12497.0,12486,11.0,12738.0,12687,51.0,2.656,2.68,-0.02400000000000002,0.905181,0.905181,0.0,0.5988372093023255,0.824561404,-0.22572419469767446
43,39,12738.0,12687,51.0,12839.0,12828,11.0,13084.0,13031,53.0,2.736,2.736,0.0,0.89052,0.89932,-0.00880000000000003,0.5838150289017341,0.819767442,-0.23595241309826587
44,40,13084.0,13031,53.0,13192.0,13170,22.0,13429.0,13383,46.0,2.824,2.736,0.08799999999999963,0.8944300000000001,0.88172,0.01271000000000011,0.6260869565217391,0.789772727,-0.16368577047826094
45,41,13429.0,13383,46.0,13535.0,13518,17.0,13772.0,13727,45.0,2.744,2.784,-0.03999999999999959,0.911046,0.911046,0.0,0.6180758017492711,0.784883721,-0.1668079192507289
46,42,13772.0,13727,45.0,13879.0,13869,10.0,14130.0,14077,53.0,2.752,2.808,-0.05600000000000005,0.88368,0.89541,-0.011730000000000018,0.5977653631284916,0.811428571,-0.2136632078715084
47,43,14130.0,14077,53.0,14229.0,14217,12.0,14343.0,14424,-81.0,2.8,2.784,0.016000000000000014,0.8563000000000001,0.914951,-0.0586509999999999,0.9295774647887324,0.806916427,0.12266103778873239
49,44,14484.0,14424,60.0,14586.0,14578,8.0,14823.0,14775,48.0,1.856,2.888,-1.0319999999999998,0.921799,0.913978,0.007821000000000078,0.6017699115044248,0.877492877,-0.2757229654955752
50,45,14823.0,14775,48.0,14929.0,14922,7.0,15171.0,15120,51.0,2.744,2.752,-0.007999999999999563,0.936461,0.936461,0.0,0.6091954022988506,0.852173913,-0.2429785107011494
51,46,15171.0,15120,51.0,15277.0,15272,5.0,15539.0,15477,62.0,2.784,2.8,-0.016000000000000014,0.938416,0.938416,0.0,0.5760869565217391,0.851540616,-0.27545365947826084
52,47,15539.0,15477,62.0,15636.0,15628,8.0,15903.0,15850,53.0,2.872,2.848,0.02400000000000002,0.915934,0.915934,0.0,0.532967032967033,0.809651475,-0.27668444203296705
53,48,15903.0,15850,53.0,16013.0,16012,1.0,16292.0,16233,59.0,3.016,3.072,-0.05600000000000005,0.901271,0.907136,-0.005865000000000009,0.5655526992287918,0.845953003,-0.28040030377120817
54,49,16292.0,16233,59.0,16394.0,16388,6.0,16692.0,16624,68.0,3.048,3.008,0.040000000000000036,0.88465,0.88465,0.0,0.51,0.792838875,-0.28283887500000005
55,50,16692.0,16624,68.0,16789.0,16780,9.0,17040.0,16993,47.0,3.16,3.136,0.02400000000000002,0.89541,0.88074,0.014670000000000072,0.5574712643678161,0.845528455,-0.2880571906321838
56,51,17040.0,16993,47.0,17151.0,17141,10.0,17420.0,17356,64.0,2.896,2.888,0.008000000000000007,0.912023,0.912023,0.0,0.5842105263157895,0.815426997,-0.23121647068421047
57,52,17420.0,17356,64.0,17516.0,17512,4.0,17767.0,17712,55.0,2.92,2.968,-0.04800000000000004,0.909091,0.89638,0.012711000000000028,0.5533141210374639,0.876404494,-0.32309037296253607
58,53,17767.0,17712,55.0,17873.0,17856,17.0,18106.0,18056,50.0,2.856,2.752,0.10400000000000009,0.916911,0.909091,0.00782000000000005,0.6253687315634218,0.837209302,-0.21184057043657822
59,54,18106.0,18056,50.0,18217.0,18191,26.0,18427.0,18371,56.0,2.752,2.68,0.07199999999999962,0.911046,0.916911,-0.005865000000000009,0.691588785046729,0.857142857,-0.165554071953271
60,55,18427.0,18371,56.0,18526.0,18511,15.0,18763.0,18710,53.0,2.472,2.56,-0.08800000000000008,0.922776,0.912023,0.010753000000000013,0.5892857142857143,0.825958702,-0.2366729877142857
61,56,18763.0,18710,53.0,18867.0,18853,14.0,19090.0,19037,53.0,2.728,2.736,-0.008000000000000007,0.909091,0.922776,-0.013685000000000058,0.636085626911315,0.874617737,-0.23853211008868502
62,57,19090.0,19037,53.0,19191.0,19178,13.0,19429.0,19380,49.0,2.592,2.6,-0.008000000000000007,0.916911,0.916911,0.0,0.5958702064896755,0.822157434,-0.22628722751032448
63,58,19429.0,19380,49.0,19534.0,19530,4.0,19789.0,19732,57.0,2.744,2.816,-0.07199999999999962,0.903226,0.915934,-0.012708000000000053,0.5833333333333333,0.852272727,-0.26893939366666675
64,59,19789.0,19732,57.0,19887.0,19878,9.0,20148.0,20089,59.0,2.824,2.784,0.040000000000000036,0.924731,0.924731,0.0,0.5459610027855153,0.817927171,-0.2719661682144847
65,60,20148.0,20089,59.0,20248.0,20241,7.0,20501.0,20455,46.0,2.888,2.904,-0.016000000000000014,0.913001,0.913001,0.0,0.56657223796034,0.830601093,-0.26402885503966
66,61,20501.0,20455,46.0,20610.0,20608,2.0,20891.0,20833,58.0,2.896,2.936,-0.040000000000000036,0.8915,0.89932,-0.00782000000000005,0.558974358974359,0.80952381,-0.25054945102564097
67,62,20891.0,20833,58.0,20996.0,20994,2.0,21236.0,21189,47.0,3.088,3.088,0.0,0.920821,0.920821,0.0,0.6086956521739131,0.904494382,-0.2957987298260869
68,63,21236.0,21189,47.0,21341.0,21336,5.0,21602.0,21541,61.0,2.76,2.736,0.023999999999999577,0.930596,0.930596,0.0,0.5737704918032787,0.835227273,-0.26145678119672133
69,64,21602.0,21541,61.0,21697.0,21691,6.0,21953.0,21896,57.0,2.848,2.84,0.008000000000000007,0.913978,0.913978,0.0,0.5413105413105412,0.845070423,-0.3037598816894588
70,65,21953.0,21896,57.0,22055.0,22044,11.0,22313.0,22261,52.0,2.864,2.824,0.040000000000000036,0.917889,0.917889,0.0,0.5666666666666667,0.810958904,-0.24429223733333338
71,66,22313.0,22261,52.0,22420.0,22418,2.0,22689.0,22627,62.0,2.92,2.992,-0.07200000000000006,0.925709,0.925709,0.0,0.5691489361702128,0.857923497,-0.28877456082978725
72,67,22689.0,22627,62.0,22790.0,22783,7.0,23039.0,22990,49.0,2.96,2.92,0.040000000000000036,0.921799,0.920821,0.0009780000000000344,0.5771428571428572,0.859504132,-0.2823612748571428
73,68,23039.0,22990,49.0,23148.0,23151,-3.0,23399.0,23347,52.0,2.864,2.944,-0.08000000000000007,0.916911,0.921799,-0.0048880000000000035,0.6055555555555556,0.901960784,-0.2964052284444444
74,69,23399.0,23347,52.0,23499.0,23495,4.0,23753.0,23695,58.0,2.808,2.752,0.05600000000000005,0.929619,0.929619,0.0,0.5649717514124294,0.850574713,-0.2856029615875706
75,70,23753.0,23695,58.0,23858.0,23842,16.0,24078.0,24025,53.0,2.872,2.776,0.09600000000000009,0.901271,0.89345,0.007821000000000078,0.6461538461538461,0.890909091,-0.24475524484615396
76,71,24078.0,24025,53.0,24171.0,24161,10.0,24411.0,24354,57.0,2.504,2.552,-0.04800000000000004,0.917889,0.917889,0.0,0.5585585585585586,0.82674772,-0.26818916144144134
77,72,24411.0,24354,57.0,24511.0,24498,13.0,24750.0,24697,53.0,2.72,2.696,0.02400000000000002,0.902248,0.902248,0.0,0.5899705014749262,0.839650146,-0.24967964452507374
78,73,24750.0,24697,53.0,24863.0,24855,8.0,25124.0,25064,60.0,2.816,2.856,-0.040000000000000036,0.908113,0.908113,0.0,0.6042780748663101,0.861035422,-0.2567573471336899
79,74,25124.0,25064,60.0,25220.0,25215,5.0,25486.0,25425,61.0,2.856,2.88,-0.02400000000000002,0.904203,0.904203,0.0,0.5303867403314917,0.836565097,-0.30617835666850834
80,75,25486.0,25425,61.0,25589.0,25577,12.0,25821.0,25764,57.0,2.952,2.896,0.05600000000000005,0.904203,0.88759,0.01661299999999999,0.6149253731343284,0.896755162,-0.28182978886567167
81,76,25821.0,25764,57.0,25928.0,25912,16.0,26171.0,26119,52.0,2.712,2.68,0.03200000000000003,0.913001,0.908113,0.0048880000000000035,0.6114285714285714,0.833802817,-0.2223742455714286
82,77,26171.0,26119,52.0,26282.0,26276,6.0,26541.0,26481,60.0,2.832,2.912,-0.08000000000000007,0.912023,0.913001,-0.0009779999999999234,0.6,0.867403315,-0.26740331500000003
83,78,26541.0,26481,60.0,26639.0,26639,0.0,26889.0,26835,54.0,2.856,2.904,-0.04800000000000004,0.926686,0.910068,0.01661800000000002,0.5632183908045977,0.892655367,-0.32943697619540235
84,79,26889.0,26835,54.0,26994.0,26981,13.0,27235.0,27181,54.0,2.84,2.736,0.10399999999999965,0.909091,0.926686,-0.017595000000000027,0.6069364161849711,0.843930636,-0.23699421981502888
85,80,27235.0,27181,54.0,27343.0,27339,4.0,27617.0,27554,63.0,2.792,2.864,-0.07200000000000006,0.907136,0.909091,-0.001954999999999929,0.5654450261780104,0.847184987,-0.2817399608219896
86,81,27617.0,27554,63.0,27715.0,27713,2.0,27984.0,27934,50.0,2.976,2.992,-0.016000000000000014,0.902248,0.902248,0.0,0.5340599455040872,0.836842105,-0.3027821594959128
87,82,27984.0,27934,50.0,28089.0,28085,4.0,28362.0,28301,61.0,2.992,2.976,0.016000000000000014,0.909091,0.909091,0.0,0.5555555555555556,0.822888283,-0.2673327274444445
88,83,28362.0,28301,61.0,28459.0,28452,7.0,28714.0,28662,52.0,2.96,2.936,0.02400000000000002,0.901271,0.88759,0.013681000000000054,0.5511363636363636,0.836565097,-0.2854287333636364
89,84,28714.0,28662,52.0,28824.0,28817,7.0,29070.0,29022,48.0,2.92,2.92,0.0,0.913978,0.913978,0.0,0.6179775280898876,0.861111111,-0.24313358291011244
90,85,29070.0,29022,48.0,29183.0,29178,5.0,29435.0,29379,56.0,2.872,2.888,-0.016000000000000014,0.914956,0.914956,0.0,0.6191780821917808,0.87394958,-0.25477149780821917
91,86,29435.0,29379,56.0,29536.0,29529,7.0,29789.0,29736,53.0,2.824,2.808,0.016000000000000014,0.913001,0.89541,0.017590999999999912,0.5706214689265536,0.840336134,-0.2697146650734463
92,87,29789.0,29736,53.0,29892.0,29886,6.0,30139.0,30091,48.0,2.848,2.856,-0.008000000000000007,0.924731,0.924731,0.0,0.5885714285714285,0.845070423,-0.2564989944285715
93,88,30139.0,30091,48.0,30246.0,30242,4.0,30507.0,30450,57.0,2.832,2.848,-0.016000000000000014,0.918866,0.918866,0.0,0.5815217391304348,0.841225627,-0.2597038878695652
94,89,30507.0,30450,57.0,30607.0,30599,8.0,30858.0,30803,55.0,2.888,2.856,0.03200000000000003,0.901271,0.901271,0.0,0.5698005698005698,0.844192635,-0.27439206519943016
95,90,30858.0,30803,55.0,30964.0,30957,7.0,31228.0,31167,61.0,2.856,2.864,-0.008000000000000007,0.910068,0.910068,0.0,0.5729729729729729,0.846153846,-0.2731808730270271
96,91,31228.0,31167,61.0,31333.0,31328,5.0,31591.0,31532,59.0,2.952,2.968,-0.016000000000000014,0.905181,0.905181,0.0,0.578512396694215,0.882191781,-0.303679384305785
97,92,31591.0,31532,59.0,31701.0,31691,10.0,31975.0,31914,61.0,2.944,2.904,0.040000000000000036,0.911046,0.911046,0.0,0.5729166666666667,0.832460733,-0.25954406633333327
98,93,31975.0,31914,61.0,32074.0,32071,3.0,32335.0,32285,50.0,2.984,3.04,-0.05600000000000005,0.907136,0.88074,0.026396000000000086,0.55,0.846361186,-0.29636118599999994
99,94,32335.0,32285,50.0,32447.0,32436,11.0,32711.0,32649,62.0,2.984,2.92,0.06400000000000006,0.913978,0.913978,0.0,0.5957446808510638,0.82967033,-0.2339256491489362
100,95,32711.0,32649,62.0,32811.0,32804,7.0,33075.0,33019,56.0,2.912,2.944,-0.03200000000000003,0.908113,0.908113,0.0,0.5494505494505495,0.837837838,-0.2883872885494505
101,96,33075.0,33019,56.0,33180.0,33174,6.0,33455.0,33394,61.0,2.952,2.96,-0.008000000000000007,0.912023,0.912023,0.0,0.5526315789473684,0.826666667,-0.27403508805263166
102,97,33455.0,33394,61.0,33551.0,33548,3.0,33812.0,33755,57.0,2.968,2.992,-0.02400000000000002,0.903226,0.903226,0.0,0.5378151260504201,0.853185596,-0.31537046994957985
103,98,33812.0,33755,57.0,33918.0,33908,10.0,34166.0,34116,50.0,2.936,2.88,0.05600000000000005,0.905181,0.904203,0.0009780000000000344,0.5988700564971752,0.847645429,-0.24877537250282478
104,99,34166.0,34116,50.0,34274.0,34273,1.0,34548.0,34487,61.0,2.848,2.92,-0.07200000000000006,0.906158,0.906158,0.0,0.5654450261780104,0.846361186,-0.2809161598219896
105,100,34548.0,34487,61.0,34652.0,34645,7.0,34907.0,34857,50.0,3.024,2.976,0.04800000000000004,0.903226,0.903226,0.0,0.5793871866295265,0.854054054,-0.2746668673704735
106,101,34907.0,34857,50.0,35017.0,35013,4.0,35278.0,35217,61.0,2.92,2.944,-0.02400000000000002,0.915934,0.915934,0.0,0.5929919137466307,0.866666667,-0.2736747532533692
107,102,35278.0,35217,61.0,35383.0,35371,12.0,35621.0,35570,51.0,2.928,2.864,0.06400000000000006,0.911046,0.88368,0.027366,0.6122448979591837,0.872521246,-0.26027634804081634
108,103,35621.0,35570,51.0,35726.0,35713,13.0,35982.0,35929,53.0,2.744,2.736,0.008000000000000007,0.912023,0.912023,0.0,0.5817174515235457,0.796657382,-0.21493993047645432
109,104,35982.0,35929,53.0,36087.0,36086,1.0,36356.0,36298,58.0,2.888,2.984,-0.09600000000000009,0.912023,0.912023,0.0,0.5614973262032086,0.850948509,-0.2894511827967914
110,105,36356.0,36298,58.0,36457.0,36446,11.0,36684.0,36629,55.0,2.96,2.88,0.08000000000000007,0.917889,0.908113,0.009776000000000007,0.6158536585365854,0.894259819,-0.2784061604634146
111,106,36684.0,36629,55.0,36787.0,36776,11.0,37036.0,36985,51.0,2.64,2.64,0.0,0.919844,0.919844,0.0,0.5852272727272727,0.825842697,-0.2406154242727273
112,107,37036.0,36985,51.0,37147.0,37144,3.0,37394.0,37340,54.0,2.88,2.944,-0.06400000000000006,0.926686,0.926686,0.0,0.6201117318435754,0.895774648,-0.2756629161564246
113,108,37394.0,37340,54.0,37494.0,37491,3.0,37749.0,37694,55.0,2.776,2.776,0.0,0.921799,0.926686,-0.004886999999999975,0.5633802816901409,0.853107345,-0.2897270633098591
114,109,37749.0,37694,55.0,37853.0,37841,12.0,38105.0,38052,53.0,2.872,2.8,0.07200000000000006,0.905181,0.910068,-0.004886999999999975,0.5842696629213483,0.82122905,-0.23695938707865172
115,110,38105.0,38052,53.0,38212.0,38209,3.0,38470.0,38411,59.0,2.872,2.944,-0.07200000000000006,0.89932,0.904203,-0.004882999999999971,0.5863013698630137,0.874651811,-0.28835044113698627
116,111,38470.0,38411,59.0,38568.0,38562,6.0,38841.0,38785,56.0,2.848,2.824,0.02400000000000002,0.901271,0.901271,0.0,0.5283018867924528,0.807486631,-0.27918474420754713
117,112,38841.0,38785,56.0,38949.0,38948,1.0,39230.0,39165,65.0,3.048,3.088,-0.040000000000000036,0.900293,0.900293,0.0,0.5552699228791773,0.857894737,-0.30262481412082265
118,113,39230.0,39165,65.0,39336.0,39331,5.0,39576.0,39532,44.0,3.096,3.064,0.03200000000000003,0.925709,0.925709,0.0,0.6127167630057804,0.904632153,-0.2919153899942196
119,114,39576.0,39532,44.0,39690.0,39681,9.0,39951.0,39888,63.0,2.832,2.8,0.03200000000000003,0.914956,0.925709,-0.010753000000000013,0.608,0.837078652,-0.229078652
120,115,39951.0,39888,63.0,40045.0,40041,4.0,40313.0,40262,51.0,2.84,2.88,-0.040000000000000036,0.89834,0.89834,0.0,0.5193370165745856,0.818181818,-0.29884480142541436
121,116,40313.0,40262,51.0,40424.0,40419,5.0,40702.0,40634,68.0,3.032,3.024,0.008000000000000007,0.921799,0.921799,0.0,0.570694087403599,0.844086022,-0.2733919345964011
122,117,40702.0,40634,68.0,40807.0,40796,11.0,41063.0,41018,45.0,3.064,3.016,0.04800000000000004,0.918866,0.918866,0.0,0.5817174515235457,0.84375,-0.2620325484764543
123,118,41063.0,41018,45.0,41177.0,41174,3.0,41425.0,41374,51.0,2.96,3.024,-0.06400000000000006,0.901271,0.901271,0.0,0.6298342541436464,0.876404494,-0.24657023985635362
124,119,41425.0,41374,51.0,41526.0,41520,6.0,41777.0,41721,56.0,2.792,2.768,0.02400000000000002,0.914956,0.901271,0.013684999999999947,0.5738636363636364,0.841498559,-0.2676349226363637
125,120,41777.0,41721,56.0,41884.0,41869,15.0,42123.0,42073,50.0,2.864,2.792,0.07200000000000006,0.89736,0.914956,-0.017595999999999945,0.6184971098265897,0.840909091,-0.22241198117341032
126,121,42123.0,42073,50.0,42233.0,42222,11.0,42489.0,42434,55.0,2.792,2.824,-0.03200000000000003,0.918866,0.918866,0.0,0.6010928961748634,0.825484765,-0.22439186882513662
127,122,42489.0,42434,55.0,42588.0,42581,7.0,42839.0,42784,55.0,2.84,2.872,-0.03200000000000003,0.89345,0.89052,0.002929999999999988,0.5657142857142857,0.84,-0.27428571428571424
128,123,42839.0,42784,55.0,42943.0,42926,17.0,43185.0,43137,48.0,2.84,2.76,0.08000000000000007,0.905181,0.89541,0.009770999999999974,0.6011560693641618,0.804532578,-0.20337650863583823
129,124,43185.0,43137,48.0,43297.0,43289,8.0,43571.0,43493,78.0,2.832,2.904,-0.07200000000000006,0.926686,0.926686,0.0,0.5803108808290156,0.853932584,-0.27362170317098444
130,125,43571.0,43493,78.0,43670.0,43694,-24.0,44056.0,43910,146.0,2.984,3.24,-0.2560000000000002,1.0,1.0,0.0,0.4082474226804123,0.964028777,-0.5557813543195878
131,126,44056.0,43910,146.0,44159.0,44144,15.0,44397.0,44339,58.0,3.912,3.6,0.31199999999999983,0.900293,1.0,-0.09970699999999999,0.6041055718475073,0.909090909,-0.30498533715249265
132,127,44397.0,44339,58.0,44500.0,44485,15.0,44737.0,44685,52.0,2.728,2.728,0.0,0.906158,0.8827,0.02345799999999998,0.6058823529411765,0.843930636,-0.23804828305882342
133,128,44737.0,44685,52.0,44845.0,44834,11.0,45087.0,45039,48.0,2.76,2.792,-0.03200000000000003,0.89834,0.906158,-0.007817999999999992,0.6171428571428572,0.84180791,-0.22466505285714278
134,129,45087.0,45039,48.0,45197.0,45190,7.0,45458.0,45395,63.0,2.816,2.848,-0.03200000000000003,0.905181,0.905181,0.0,0.5929919137466307,0.848314607,-0.2553226932533693
135,130,45458.0,45395,63.0,45572.0,45551,21.0,45802.0,45751,51.0,3.0,2.888,0.1120000000000001,0.912023,0.89932,0.01270300000000002,0.6627906976744187,0.876404494,-0.2136137963255813
136,131,45802.0,45751,51.0,45915.0,45893,22.0,46162.0,46112,50.0,2.744,2.736,0.008000000000000007,0.900293,0.912023,-0.011730000000000018,0.6277777777777778,0.786703601,-0.15892582322222226
137,132,46162.0,46112,50.0,46276.0,46272,4.0,46547.0,46488,59.0,2.888,3.032,-0.14400000000000013,0.908113,0.908113,0.0,0.5922077922077922,0.85106383,-0.2588560377922078
138,133,46547.0,46488,59.0,46654.0,46643,11.0,46893.0,46848,45.0,3.024,2.968,0.05600000000000005,0.908113,0.906158,0.001954999999999929,0.6184971098265897,0.861111111,-0.24261400117341037
139,134,46893.0,46848,45.0,47006.0,46996,10.0,47247.0,47195,52.0,2.816,2.824,-0.008000000000000007,0.913978,0.912023,0.001954999999999929,0.6384180790960452,0.853025937,-0.21460785790395476
140,135,47247.0,47195,52.0,47353.0,47346,7.0,47612.0,47554,58.0,2.776,2.8,-0.02400000000000002,0.907136,0.913978,-0.006841999999999904,0.5808219178082192,0.841225627,-0.2604037091917808
141,136,47612.0,47554,58.0,47720.0,47702,18.0,47951.0,47901,50.0,2.936,2.848,0.08800000000000008,0.906158,0.89052,0.01563800000000004,0.6371681415929203,0.853025937,-0.2158577954070796
142,137,47951.0,47901,50.0,48066.0,48053,13.0,48326.0,48266,60.0,2.768,2.808,-0.040000000000000036,0.921799,0.921799,0.0,0.6133333333333333,0.832876712,-0.21954337866666673
