subject,matched_objects_absolute,featuregraph_only_objects_absolute,llm_only_objects_absolute,featuregraph_complete_objects_absolute,llm_complete_objects_absolute,featuregraph_matched_fraction_absolute,llm_matched_fraction_absolute,median_absolute_start_index_error_absolute,maximum_absolute_start_index_error_absolute,median_absolute_peak_index_error_absolute,maximum_absolute_peak_index_error_absolute,median_absolute_end_index_error_absolute,maximum_absolute_end_index_error_absolute,median_absolute_period_seconds_error_absolute,maximum_absolute_period_seconds_error_absolute,median_absolute_full_excursion_error_absolute,maximum_absolute_full_excursion_error_absolute,median_absolute_temporal_symmetry_error_absolute,maximum_absolute_temporal_symmetry_error_absolute,featuregraph_mean_period_seconds_absolute,llm_mean_period_seconds_absolute,featuregraph_mean_full_excursion_absolute,llm_mean_full_excursion_absolute,featuregraph_mean_temporal_symmetry_absolute,llm_mean_temporal_symmetry_absolute,samples_absolute,featuregraph_detected_peaks_absolute,llm_detected_peaks_absolute,featuregraph_partial_objects_absolute,llm_partial_objects_absolute,median_signed_start_index_difference_absolute,median_signed_peak_index_difference_absolute,median_signed_end_index_difference_absolute,median_signed_period_seconds_difference_absolute,median_signed_full_excursion_difference_absolute,median_signed_temporal_symmetry_difference_absolute,featuregraph_only_excluded_by_both_annotators_absolute,matched_objects_mad,featuregraph_only_objects_mad,llm_only_objects_mad,featuregraph_complete_objects_mad,llm_complete_objects_mad,featuregraph_matched_fraction_mad,llm_matched_fraction_mad,median_absolute_start_index_error_mad,maximum_absolute_start_index_error_mad,median_absolute_peak_index_error_mad,maximum_absolute_peak_index_error_mad,median_absolute_end_index_error_mad,maximum_absolute_end_index_error_mad,median_absolute_period_seconds_error_mad,maximum_absolute_period_seconds_error_mad,median_absolute_full_excursion_error_mad,maximum_absolute_full_excursion_error_mad,median_absolute_temporal_symmetry_error_mad,maximum_absolute_temporal_symmetry_error_mad,featuregraph_mean_period_seconds_mad,llm_mean_period_seconds_mad,featuregraph_mean_full_excursion_mad,llm_mean_full_excursion_mad,featuregraph_mean_temporal_symmetry_mad,llm_mean_temporal_symmetry_mad,featuregraph_scaling,samples_mad,featuregraph_detected_peaks_mad,llm_detected_peaks_mad,featuregraph_partial_objects_mad,llm_partial_objects_mad,median_signed_start_index_difference_mad,median_signed_peak_index_difference_mad,median_signed_end_index_difference_mad,median_signed_period_seconds_difference_mad,median_signed_full_excursion_difference_mad,median_signed_temporal_symmetry_difference_mad,featuregraph_only_excluded_by_both_annotators_mad,delta_featuregraph_complete_objects,delta_matched_objects,delta_featuregraph_only_objects,delta_llm_only_objects,delta_featuregraph_matched_fraction,delta_llm_matched_fraction
11.0,111.0,28.0,5.0,139.0,116.0,0.7985611510791367,0.956896551724138,80.0,351.0,23.0,61.0,80.0,351.0,0.1760000000000001,4.448,0.01711,0.2982899999999999,0.4331050228310502,0.820982611739993,3.581890909090909,4.043563636363637,0.6657850900900901,0.6999267567567569,0.3445471941692539,0.7755662794777882,60001.0,140.0,119.0,2.0,1.0,80.0,-20.0,77.0,-0.072,-0.00734,-0.4331050228310502,22.0,116.0,67.0,0.0,183.0,116.0,0.6338797814207651,1.0,61.5,335.0,10.0,43.0,60.0,510.0,0.2400000000000002,5.5600000000000005,0.01956,0.29829,0.271466671238557,0.8107142857142857,2.834896551724138,4.039373913043479,0.6531274137931035,0.6960409913793104,0.5053232295856299,0.7756968392156874,mad,60001,184,119,2,1,61.5,-2.0,51.5,-0.1679999999999992,-0.01712,-0.2681592506958978,53,44.0,5.0,39.0,-5.0,-0.16468136965837166,0.04310344827586199
12.0,150.0,3.0,0.0,153.0,150.0,0.9803921568627452,1.0,72.5,178.0,6.0,16.0,72.0,178.0,0.0279999999999998,2.76,0.0,0.093839,0.3448712168173021,0.7544622295690139,3.13632,3.1696000000000004,0.8490391066666666,0.85309918,0.5446936768788627,0.8913669501198175,60001.0,154.0,151.0,2.0,0.0,72.5,5.0,72.0,0.0,0.0,-0.3448712168173021,2.0,150.0,3.0,0.0,153.0,150.0,0.9803921568627452,1.0,71.0,178.0,6.0,17.0,71.0,178.0,0.032,2.76,1.1102230246251563e-16,0.0938389999999999,0.3368722186904005,0.737143146385908,3.136266666666667,3.1696000000000004,0.8490391066666666,0.85309918,0.5525480388829787,0.8913669501198175,mad,60001,154,151,2,0,71.0,6.0,71.0,0.0,0.0,-0.3368722186904005,2,0.0,0.0,0.0,0.0,0.0,0.0
13.0,9.0,1.0,96.0,10.0,105.0,0.9,0.0857142857142857,109.0,500.0,12.0,22.0,3950.0,7778.0,39.392,131.064,0.0156399999999999,0.02248,0.6263871052823632,0.7417975637024157,48.959,3.741333333333333,0.3248613333333333,0.313568,0.0678825261649886,0.6508910424342734,60001.0,11.0,106.0,2.0,1.0,109.0,-12.0,3950.0,39.392,0.0156399999999999,-0.6263871052823632,1.0,105.0,413.0,0.0,518.0,105.0,0.2027027027027027,1.0,99.0,2458.0,14.0,45.0,179.0,1454.0,2.164,31.488,0.0606099999999999,0.2551339999999999,0.2096674876847289,0.7782929263659487,0.9839238095238096,4.477153846153846,0.1196945904761904,0.182450819047619,0.7663608720086048,0.6876415608076583,mad,60001,519,106,2,1,99.0,11.0,-179.0,-2.164,-0.0606099999999999,0.1117985787797108,311,508.0,96.0,412.0,-96.0,-0.6972972972972973,0.9142857142857143
14.0,70.0,215.0,31.0,285.0,101.0,0.2456140350877192,0.693069306930693,188.5,494.0,20.0,63.0,47.0,514.0,2.064,5.0,0.0207799999999999,0.59168,0.4310555242326904,0.8697420968163326,1.4137142857142857,3.5170285714285714,0.8260901428571428,0.8892413571428571,0.3900999808287574,0.767405167377907,60001.0,286.0,144.0,2.0,0.0,188.5,-15.0,46.0,-2.064,-0.0012249999999999,-0.4310555242326904,190.0,97.0,307.0,4.0,404.0,101.0,0.2400990099009901,0.9603960396039604,209.0,488.0,19.0,45.0,35.0,267.0,2.992,5.696,0.0489,1.06846,0.2918873476250525,0.7886800247882669,1.064577319587629,3.747134020618557,0.739065824742268,0.8638868556701031,0.4938436642321376,0.7170313261651964,mad,60001,404,144,2,0,209.0,2.0,27.0,-2.992,-0.0489,-0.2576388888888888,254,119.0,27.0,92.0,-27.0,-0.005515025186729111,0.26732673267326734
15.0,83.0,83.0,34.0,166.0,117.0,0.5,0.7094017094017094,74.0,265.0,15.0,63.0,66.0,1424.0,0.4479999999999999,11.712,0.0220099999999998,0.78973,0.3004156836310526,0.8229909154437457,3.31055421686747,3.817927710843374,1.2862107228915662,1.395145843373494,0.5199387459128335,0.8485517212569401,60001.0,167.0,121.0,2.0,0.0,74.0,-12.0,61.0,0.04,0.0,-0.3004156836310526,69.0,94.0,111.0,23.0,205.0,117.0,0.4585365853658537,0.8034188034188035,62.0,398.0,11.0,62.0,50.5,262.0,0.728,4.816000000000001,0.0586799999999999,0.8533000000000001,0.2259973953254818,0.7945875893115973,2.778553191489362,3.8559148936170216,1.2197884574468083,1.331243670212766,0.6060445126548211,0.8340324191788091,mad,60001,206,121,2,0,62.0,-7.0,43.0,-0.2719999999999998,-0.0415649999999999,-0.2079115697753032,93,39.0,11.0,28.0,-11.0,-0.04146341463414632,0.09401709401709402
16.0,152.0,57.0,0.0,209.0,152.0,0.7272727272727273,1.0,150.0,266.0,12.0,32.0,110.0,233.0,0.056,2.904,0.0,0.54545,0.4072631490773489,0.7079539394418219,2.397473684210526,3.0655364238410594,0.9926043486842104,1.0,0.4292231975766499,0.842119834616593,60001.0,209.0,157.0,2.0,1.0,150.0,-11.0,96.5,-0.016,0.0,-0.4072631490773489,52.0,152.0,87.0,0.0,239.0,152.0,0.6359832635983264,1.0,135.5,263.0,9.0,33.0,82.0,234.0,0.088,2.896,1.1102230246251563e-16,0.5454500000000001,0.3615044408730286,0.6911974906694196,2.044684210526316,3.0655364238410594,0.9931638881578944,1.0,0.4980710783148667,0.842119834616593,mad,60001,239,157,2,1,135.5,-9.0,76.0,-0.0639999999999996,-1.1102230246251563e-16,-0.3615044408730286,82,30.0,0.0,30.0,0.0,-0.09128946367440094,0.0
17.0,136.0,3.0,1.0,139.0,137.0,0.9784172661870504,0.9927007299270072,66.0,231.0,27.0,51.0,66.0,449.0,0.048,3.712,0.0,0.17107,0.4139987827145465,0.806603382714458,3.4718222222222224,3.4644740740740745,0.9880541176470587,0.9904261029411764,0.3451318012215514,0.7595938685863223,60001.0,139.0,138.0,2.0,1.0,66.0,-27.0,66.0,0.0,0.0,-0.4139987827145465,2.0,137.0,8.0,0.0,145.0,137.0,0.9448275862068966,1.0,62.0,305.0,24.0,48.0,62.0,305.0,0.048,3.0,0.0,0.069404,0.3779482012240632,0.740023918331032,3.389294117647059,3.466647058823529,0.9828328175182482,0.983903094890511,0.3841906572912987,0.7568408399146592,mad,60001,145,138,2,1,62.0,-24.0,61.0,-0.008,0.0,-0.3765291083271923,6,6.0,1.0,5.0,-1.0,-0.03358967998015383,0.007299270072992803
18.0,142.0,2.0,0.0,144.0,142.0,0.9861111111111112,1.0,74.0,218.0,5.0,19.0,74.0,194.0,0.016,2.704,0.0,0.12225,0.3533542973982781,0.6418461538461538,3.315830985915493,3.3348732394366194,0.5974711267605635,0.5992792253521125,0.4140607040686133,0.8009721788942503,60001.0,145.0,144.0,2.0,1.0,74.0,3.0,74.0,0.0,0.0,-0.3533542973982781,1.0,142.0,3.0,0.0,145.0,142.0,0.9793103448275862,1.0,65.0,214.0,16.0,22.0,65.0,179.0,0.008,2.712,0.0,0.12225,0.2326938950124171,0.5228915662650603,3.305802816901408,3.3348732394366194,0.5974711267605635,0.5992792253521125,0.5258684364958225,0.8009721788942503,mad,60001,146,144,2,1,65.0,16.0,65.0,0.0,0.0,-0.2326938950124171,2,1.0,0.0,1.0,0.0,-0.006800766283524995,0.0
19.0,12.0,4.0,109.0,16.0,121.0,0.75,0.0991735537190082,91.5,338.0,7.0,28.0,1777.0,7809.0,17.972,64.08800000000001,0.1113155,0.271831,0.5052986650749858,0.9580091593409484,24.258,3.086,0.4661757499999999,0.4338880833333333,0.0632131926034914,0.6108774464804403,60001.0,17.0,122.0,2.0,0.0,91.5,-5.5,1777.0,17.972,0.0264444999999999,-0.5052986650749858,3.0,121.0,300.0,0.0,421.0,121.0,0.2874109263657957,1.0,270.0,480.0,18.0,62.0,51.0,564.0,2.8160000000000003,8.736,0.01599,0.3431709999999999,0.1384497705252422,0.7353117575142442,1.0132231404958678,3.9255537190082648,0.2267375041322314,0.2612587355371901,0.5622492554602627,0.6601818549640577,mad,60001,422,122,2,0,270.0,17.0,29.0,-2.8160000000000003,-0.00984,-0.0614439324116743,278,405.0,109.0,296.0,-109.0,-0.4625890736342043,0.9008264462809918
20.0,113.0,71.0,1.0,184.0,114.0,0.6141304347826086,0.9912280701754386,83.0,277.0,19.0,59.0,61.0,228.0,0.2080000000000001,4.192,0.0,0.26686,0.3973811659192825,0.896820275145933,2.555469026548673,3.84212389380531,0.9468855653097344,0.9713322141592922,0.4404415381411914,0.8478436759321356,60001.0,185.0,128.0,2.0,1.0,83.0,-19.0,57.0,-0.1440000000000001,0.0,-0.3973811659192825,62.0,114.0,71.0,0.0,185.0,114.0,0.6162162162162163,1.0,74.0,275.0,17.0,56.0,52.0,198.0,0.1919999999999999,4.5840000000000005,0.0,0.26686,0.3427747079512008,0.9084427767354596,2.603087719298246,3.854596491228071,0.9456366568421052,0.9703660543859648,0.4907144683807292,0.8490500108244724,mad,60001,186,128,2,1,74.0,-17.0,50.0,-0.1359999999999998,0.0,-0.3427747079512008,62,1.0,1.0,0.0,-1.0,0.002085781433607603,0.00877192982456143
21.0,143.0,145.0,1.0,288.0,144.0,0.4965277777777778,0.9930555555555556,153.0,312.0,6.0,53.0,58.0,572.0,1.7519999999999998,5.824,0.001955,0.47117,0.3488211456990238,0.6896014640889356,1.7524475524475525,3.2408951048951047,0.9136162293706293,0.9490324797202796,0.4761797627596015,0.7948285602969277,60001.0,289.0,150.0,2.0,0.0,153.0,-4.0,50.0,-1.7519999999999998,0.0,-0.3488211456990238,138.0,144.0,280.0,0.0,424.0,144.0,0.3396226415094339,1.0,127.0,310.0,5.0,48.0,36.0,242.0,2.232,3.96,0.0019525,0.4643200000000001,0.2469930269973179,0.6467705361714579,1.2175555555555555,3.2293888888888893,0.9181806458333333,0.9486532958333334,0.5823505182560612,0.7949341664219067,mad,60001,425,150,2,0,127.0,-1.0,30.0,-2.232,0.0,-0.2399973387671032,272,136.0,1.0,135.0,-1.0,-0.1569051362683439,0.00694444444444442
22.0,149.0,24.0,0.0,173.0,149.0,0.861271676300578,1.0,172.0,207.0,8.0,19.0,168.0,207.0,0.064,2.536,0.0,0.43011,0.3714114832535885,0.7001937358734259,2.9088322147651007,3.1871140939597318,0.9843859550335572,0.9903166809395972,0.4142335720390909,0.795785934169239,60001.0,174.0,151.0,2.0,1.0,172.0,-8.0,168.0,-0.016,0.0,-0.3714114832535885,23.0,149.0,132.0,0.0,281.0,149.0,0.5302491103202847,1.0,164.0,193.0,5.0,15.0,72.0,179.0,1.984,2.592,2.220446049250313e-16,0.43011,0.2528197235667179,0.6020342266709718,1.6089127516778523,3.1871140939597318,0.9843400355704698,0.9903166809395972,0.5361262224516677,0.795785934169239,mad,60001,282,151,2,1,164.0,-4.0,72.0,-1.984,0.0,-0.2528197235667179,131,108.0,0.0,108.0,0.0,-0.33102256598029334,0.0
23.0,140.0,103.0,0.0,243.0,140.0,0.5761316872427984,1.0,137.5,250.0,11.5,47.0,74.0,219.0,1.804,4.224,0.0185765,0.3567899999999999,0.449928487910803,0.8907292815613842,1.9316,3.2576,0.7443722028571428,0.764097167142857,0.3903040681568134,0.8304107644318324,60001.0,244.0,149.0,2.0,0.0,137.5,8.5,70.5,-1.804,0.0,-0.449928487910803,97.0,140.0,194.0,0.0,334.0,140.0,0.4191616766467065,1.0,135.5,273.0,13.5,34.0,52.0,219.0,2.196,4.224,0.0219949999999999,0.3695,0.289073368774474,0.7576435495898584,1.1861714285714289,3.2576,0.7347227457142858,0.764097167142857,0.5596180133789135,0.8304107644318324,mad,60001,335,149,2,0,135.5,12.0,33.5,-2.196,0.0,-0.2820957558105917,189,91.0,0.0,91.0,0.0,-0.1569700105960919,0.0
24.0,178.0,2.0,0.0,180.0,178.0,0.9888888888888888,1.0,64.0,191.0,11.0,18.0,64.5,191.0,0.032,0.2399999999999997,0.0068499999999999,0.0840659999999999,0.3204613457439594,0.6375334213287306,2.6666516853932585,2.66647191011236,0.8916336094382025,0.892792086966292,0.5274451864542657,0.8546952161180198,60001.0,180.0,180.0,2.0,1.0,64.0,11.0,64.5,0.0,0.0,-0.3204613457439594,0.0,178.0,2.0,0.0,180.0,178.0,0.9888888888888888,1.0,64.0,191.0,11.0,18.0,64.5,191.0,0.032,0.2399999999999997,0.0068499999999999,0.0840659999999999,0.3204613457439594,0.6375334213287306,2.6666516853932585,2.66647191011236,0.8916336094382025,0.892792086966292,0.5274451864542657,0.8546952161180198,mad,60001,180,180,2,1,64.0,11.0,64.5,0.0,0.0,-0.3204613457439594,0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,127.0,9.0,0.0,136.0,127.0,0.9338235294117648,1.0,59.0,215.0,5.0,14.0,58.0,196.0,0.024,3.72,0.0,0.42787,0.2337977041659283,0.5431020780129068,3.5655433070866147,3.741291338582677,1.694776062992126,1.7154526771653544,0.4000236799380369,0.6581715698030375,60001.0,137.0,128.0,2.0,0.0,59.0,5.0,58.0,0.0,0.0,-0.2337977041659283,8.0,127.0,11.0,0.0,138.0,127.0,0.9202898550724636,1.0,58.0,215.0,5.0,14.0,56.0,189.0,0.024,3.72,4.440892098500626e-16,0.42787,0.2282825755111234,0.5377401477180006,3.5223307086614173,3.741291338582677,1.694776062992126,1.7154526771653544,0.4052600652825328,0.6581715698030375,mad,60001,139,128,2,0,58.0,5.0,56.0,0.0,0.0,-0.2282825755111234,10,2.0,0.0,2.0,0.0,-0.013533674339301194,0.0
