episode_id,subject,featuregraph_object_id,discordance_type,temporal_pattern,burst_id,burst_size,previous_featuregraph_object_id,next_featuregraph_object_id,start_index,start_time_seconds,peak_index,peak_time_seconds,end_index,end_time_seconds,peak_detection_index,peak_detection_time_seconds,peak_detection_latency_samples,peak_detection_latency_seconds,period_seconds,full_excursion,temporal_symmetry,annotation_status,excluded_by_ann1,excluded_by_ann2,excluded_by_both_annotators,retained_by_one_or_both_annotators,plateau_boundary_ambiguous,clinical_interpretation,sampling_rate_hz,construction,construction_version,comparator,is_complete,transition_complete,plateau_invalidated_complete,start_trough_transition_index,start_trough_start_index,start_trough_end_index,peak_transition_index,peak_start_index,peak_end_index,end_trough_transition_index,end_trough_start_index,end_trough_end_index,burst_number
bidmc-04-fg-0066,4,66,featuregraph_only,burst,bidmc-04-burst-004,13,65,67,24751.0,198.008,24752.0,198.016,24753.0,198.024,24852,198.816,100.0,0.8,0.016,0.0030100000000000127,1.0,excluded_by_both,True,True,True,False,False,unassigned,125,envelope_plateau,envelope_plateau_v1,frozen_llm_scipy_find_peaks,True,True,False,24751,24751,24751,24752,24752,24752,24753,24753,24753,4
bidmc-04-fg-0067,4,67,featuregraph_only,burst,bidmc-04-burst-004,13,66,68,24753.0,198.024,24754.0,198.032,24755.0,198.04,24854,198.832,100.0,0.8,0.016,0.0,1.0,excluded_by_both,True,True,True,False,False,unassigned,125,envelope_plateau,envelope_plateau_v1,frozen_llm_scipy_find_peaks,True,True,False,24753,24753,24753,24754,24754,24754,24755,24755,24755,4
bidmc-04-fg-0068,4,68,featuregraph_only,burst,bidmc-04-burst-004,13,67,69,24755.0,198.04,24756.0,198.048,24757.0,198.056,24856,198.848,100.0,0.8,0.016,0.0,1.0,excluded_by_both,True,True,True,False,False,unassigned,125,envelope_plateau,envelope_plateau_v1,frozen_llm_scipy_find_peaks,True,True,False,24755,24755,24755,24756,24756,24756,24757,24757,24757,4
bidmc-04-fg-0069,4,69,featuregraph_only,burst,bidmc-04-burst-004,13,68,70,24757.0,198.056,24758.0,198.064,24759.0,198.072,24858,198.864,100.0,0.8,0.016,0.0,1.0,excluded_by_both,True,True,True,False,False,unassigned,125,envelope_plateau,envelope_plateau_v1,frozen_llm_scipy_find_peaks,True,True,False,24757,24757,24757,24758,24758,24758,24759,24759,24759,4
bidmc-04-fg-0070,4,70,featuregraph_only,burst,bidmc-04-burst-004,13,69,71,24759.0,198.072,24760.0,198.08,24761.0,198.088,24860,198.88,100.0,0.8,0.016,0.0,1.0,excluded_by_both,True,True,True,False,False,unassigned,125,envelope_plateau,envelope_plateau_v1,frozen_llm_scipy_find_peaks,True,True,False,24759,24759,24759,24760,24760,24760,24761,24761,24761,4
bidmc-04-fg-0071,4,71,featuregraph_only,burst,bidmc-04-burst-004,13,70,72,24761.0,198.088,24762.0,198.096,24763.0,198.104,24862,198.896,100.0,0.8,0.016,0.0,1.0,excluded_by_both,True,True,True,False,False,unassigned,125,envelope_plateau,envelope_plateau_v1,frozen_llm_scipy_find_peaks,True,True,False,24761,24761,24761,24762,24762,24762,24763,24763,24763,4
bidmc-04-fg-0072,4,72,featuregraph_only,burst,bidmc-04-burst-004,13,71,73,24763.0,198.104,24764.0,198.112,24768.0,198.144,24864,198.912,100.0,0.8,0.016,0.00602999999999998,0.4,excluded_by_both,True,True,True,False,False,unassigned,125,envelope_plateau,envelope_plateau_v1,frozen_llm_scipy_find_peaks,True,True,False,24763,24763,24763,24764,24764,24764,24772,24765,24772,4
bidmc-04-fg-0075,4,75,featuregraph_only,isolated,bidmc-04-burst-005,1,74,76,25816.0,206.528,25867.0,206.936,25912.0,207.296,25969,207.752,102.0,0.816,1.936,0.04216000000000003,0.9375,excluded_by_both,True,True,True,False,False,unassigned,125,envelope_plateau,envelope_plateau_v1,frozen_llm_scipy_find_peaks,True,True,False,25817,25816,25817,25865,25865,25869,25912,25912,25912,5
bidmc-04-fg-0089,4,89,featuregraph_only,isolated,bidmc-04-burst-006,1,88,90,31603.0,252.824,31767.0,254.136,31780.0,254.24,31869,254.952,102.0,0.816,3.048,0.06627,0.14689265536723162,excluded_by_both,True,True,True,False,False,unassigned,125,envelope_plateau,envelope_plateau_v1,frozen_llm_scipy_find_peaks,True,True,False,31625,31582,31625,31765,31765,31769,31781,31780,31781,6
bidmc-04-fg-0093,4,93,featuregraph_only,isolated,bidmc-04-burst-007,1,92,94,32670.0,261.36,32726.0,261.808,32753.0,262.024,32828,262.624,102.0,0.816,1.872,0.05421999999999999,0.6506024096385542,excluded_by_both,True,True,True,False,False,unassigned,125,envelope_plateau,envelope_plateau_v1,frozen_llm_scipy_find_peaks,True,True,False,32671,32670,32671,32725,32725,32728,32754,32753,32754,7
bidmc-04-fg-0104,4,104,featuregraph_only,isolated,bidmc-04-burst-008,1,103,105,37233.0,297.864,37289.0,298.312,37324.0,298.592,37389,299.112,100.0,0.8,1.96,0.05723,0.7692307692307692,excluded_by_both,True,True,True,False,False,unassigned,125,envelope_plateau,envelope_plateau_v1,frozen_llm_scipy_find_peaks,True,True,False,37234,37233,37234,37289,37289,37289,37325,37323,37325,8
bidmc-04-fg-0127,4,127,featuregraph_only,isolated,bidmc-04-burst-009,1,126,128,46361.0,370.888,46466.0,371.728,46483.0,371.864,46567,372.536,101.0,0.808,2.424,0.060240000000000016,0.2786885245901639,excluded_by_both,True,True,True,False,False,unassigned,125,envelope_plateau,envelope_plateau_v1,frozen_llm_scipy_find_peaks,True,True,False,46361,46361,46361,46465,46465,46467,46484,46482,46484,9
bidmc-04-fg-0129,4,129,featuregraph_only,isolated,bidmc-04-burst-010,1,128,130,46951.0,375.608,47007.0,376.056,47035.0,376.28,47107,376.856,100.0,0.8,1.968,0.05120000000000002,0.6666666666666667,excluded_by_both,True,True,True,False,False,unassigned,125,envelope_plateau,envelope_plateau_v1,frozen_llm_scipy_find_peaks,True,True,False,46952,46951,46952,47007,47007,47007,47035,47035,47035,10
bidmc-04-fg-0134,4,134,featuregraph_only,burst,bidmc-04-burst-011,2,133,135,48917.0,391.336,48923.0,391.384,48930.0,391.44,49027,392.216,104.0,0.832,1.904,0.0030100000000000127,0.9230769230769231,excluded_by_both,True,True,True,False,False,unassigned,125,envelope_plateau,envelope_plateau_v1,frozen_llm_scipy_find_peaks,True,True,False,48919,48916,48919,48920,48920,48927,48932,48928,48932,11
bidmc-04-fg-0135,4,135,featuregraph_only,burst,bidmc-04-burst-011,2,134,136,48930.0,391.44,48936.0,391.488,48942.0,391.536,49040,392.32,104.0,0.832,0.104,0.015060000000000018,1.0,excluded_by_both,True,True,True,False,False,unassigned,125,envelope_plateau,envelope_plateau_v1,frozen_llm_scipy_find_peaks,True,True,False,48932,48928,48932,48933,48933,48940,48944,48941,48944,11
bidmc-04-fg-0145,4,145,featuregraph_only,isolated,bidmc-04-burst-012,1,144,146,52499.0,419.992,52566.0,420.528,52583.0,420.664,52669,421.352,103.0,0.824,2.184,0.08433999999999997,0.40476190476190477,excluded_by_both,True,True,True,False,False,unassigned,125,envelope_plateau,envelope_plateau_v1,frozen_llm_scipy_find_peaks,True,True,False,52500,52499,52500,52563,52563,52569,52583,52583,52583,12
bidmc-04-fg-0158,4,158,featuregraph_only,burst,bidmc-04-burst-013,2,157,159,58183.0,465.464,58184.0,465.472,58185.0,465.48,58284,466.272,100.0,0.8,1.808,0.0,1.0,excluded_by_both,True,True,True,False,False,unassigned,125,envelope_plateau,envelope_plateau_v1,frozen_llm_scipy_find_peaks,True,True,False,58183,58183,58183,58184,58184,58184,58185,58185,58185,13
bidmc-04-fg-0159,4,159,featuregraph_only,burst,bidmc-04-burst-013,2,158,160,58185.0,465.48,58186.0,465.488,58187.0,465.496,58286,466.288,100.0,0.8,0.016,0.0,1.0,excluded_by_both,True,True,True,False,False,unassigned,125,envelope_plateau,envelope_plateau_v1,frozen_llm_scipy_find_peaks,True,True,False,58185,58185,58185,58186,58186,58186,58187,58187,58187,13
bidmc-05-fg-0001,5,1,featuregraph_only,isolated,bidmc-05-burst-001,1,0,2,284.0,2.272,695.0,5.56,737.0,5.896,795,6.36,100.0,0.8,,0.24145,0.1854304635761589,excluded_by_both,True,True,True,False,False,unassigned,125,envelope_plateau,envelope_plateau_v1,frozen_llm_scipy_find_peaks,True,True,False,324,244,324,695,695,695,738,737,738,1
bidmc-05-fg-0004,5,4,featuregraph_only,isolated,bidmc-05-burst-002,1,3,5,1552.0,12.416,1917.0,15.336,1932.0,15.456,2019,16.152,102.0,0.816,5.192,0.23069,0.07894736842105265,excluded_by_both,True,True,True,False,False,unassigned,125,envelope_plateau,envelope_plateau_v1,frozen_llm_scipy_find_peaks,True,True,False,1593,1512,1593,1916,1916,1919,1932,1932,1932,2
bidmc-05-fg-0009,5,9,featuregraph_only,burst,bidmc-05-burst-003,2,8,10,4078.0,32.624,4297.0,34.376,4319.0,34.552,4399,35.192,102.0,0.816,3.92,0.18377,0.18257261410788383,excluded_by_both,True,True,True,False,False,unassigned,125,envelope_plateau,envelope_plateau_v1,frozen_llm_scipy_find_peaks,True,True,False,4120,4036,4120,4296,4296,4299,4320,4319,4320,3
bidmc-05-fg-0010,5,10,featuregraph_only,burst,bidmc-05-burst-003,2,9,11,4319.0,34.552,4597.0,36.776,4645.0,37.16,4697,37.576,100.0,0.8,2.4,0.09384,0.29447852760736193,excluded_by_both,True,True,True,False,False,unassigned,125,envelope_plateau,envelope_plateau_v1,frozen_llm_scipy_find_peaks,True,True,False,4320,4319,4320,4597,4597,4597,4645,4645,4645,3
bidmc-05-fg-0013,5,13,featuregraph_only,burst,bidmc-05-burst-004,2,12,14,5327.0,42.616,5593.0,44.744,5605.0,44.84,5697,45.576,104.0,0.832,4.416,0.19257,0.08633093525179858,excluded_by_both,True,True,True,False,False,unassigned,125,envelope_plateau,envelope_plateau_v1,frozen_llm_scipy_find_peaks,True,True,False,5367,5288,5367,5589,5589,5597,5605,5605,5605,4
bidmc-05-fg-0014,5,14,featuregraph_only,burst,bidmc-05-burst-004,2,13,15,5605.0,44.84,5742.0,45.936,5768.0,46.144,5843,46.744,101.0,0.808,1.192,0.07918,0.3190184049079755,excluded_by_both,True,True,True,False,False,unassigned,125,envelope_plateau,envelope_plateau_v1,frozen_llm_scipy_find_peaks,True,True,False,5605,5605,5605,5741,5741,5743,5768,5768,5768,4
bidmc-05-fg-0016,5,16,featuregraph_only,burst,bidmc-05-burst-005,21,15,17,6371.0,50.968,6969.0,55.752,7077.0,56.616,7069,56.552,100.0,0.8,6.928,0.24829,0.30594900849858353,excluded_by_both,True,True,True,False,False,unassigned,125,envelope_plateau,envelope_plateau_v1,frozen_llm_scipy_find_peaks,True,True,False,6408,6334,6408,6969,6969,6969,7077,7077,7077,5
bidmc-05-fg-0017,5,17,featuregraph_only,burst,bidmc-05-burst-005,21,16,18,7077.0,56.616,7122.0,56.976,7169.0,57.352,7223,57.784,101.0,0.808,1.224,0.04887,0.9782608695652174,excluded_by_both,True,True,True,False,False,unassigned,125,envelope_plateau,envelope_plateau_v1,frozen_llm_scipy_find_peaks,True,True,False,7077,7077,7077,7121,7121,7123,7169,7169,7169,5
bidmc-05-fg-0018,5,18,featuregraph_only,burst,bidmc-05-burst-005,21,17,19,7169.0,57.352,7280.0,58.24,7330.0,58.64,7382,59.056,102.0,0.816,1.264,0.10751999999999998,0.6211180124223603,excluded_by_both,True,True,True,False,False,unassigned,125,envelope_plateau,envelope_plateau_v1,frozen_llm_scipy_find_peaks,True,True,False,7169,7169,7169,7279,7279,7282,7331,7330,7331,5
bidmc-05-fg-0019,5,19,featuregraph_only,burst,bidmc-05-burst-005,21,18,20,7330.0,58.64,7332.0,58.656,7333.0,58.664,7432,59.456,100.0,0.8,0.416,0.0009800000000000086,0.6666666666666667,excluded_by_both,True,True,True,False,False,unassigned,125,envelope_plateau,envelope_plateau_v1,frozen_llm_scipy_find_peaks,True,True,False,7331,7330,7331,7332,7332,7332,7334,7333,7334,5
bidmc-05-fg-0020,5,20,featuregraph_only,burst,bidmc-05-burst-005,21,19,21,7333.0,58.664,7335.0,58.68,7336.0,58.688,7435,59.48,100.0,0.8,0.024,0.0009699999999999986,0.6666666666666667,excluded_by_both,True,True,True,False,False,unassigned,125,envelope_plateau,envelope_plateau_v1,frozen_llm_scipy_find_peaks,True,True,False,7334,7333,7334,7335,7335,7335,7337,7336,7337,5
bidmc-05-fg-0021,5,21,featuregraph_only,burst,bidmc-05-burst-005,21,20,22,7336.0,58.688,7338.0,58.704,7339.0,58.712,7438,59.504,100.0,0.8,0.024,0.0019600000000000173,0.6666666666666667,excluded_by_both,True,True,True,False,False,unassigned,125,envelope_plateau,envelope_plateau_v1,frozen_llm_scipy_find_peaks,True,True,False,7337,7336,7337,7338,7338,7338,7339,7339,7339,5
bidmc-05-fg-0022,5,22,featuregraph_only,burst,bidmc-05-burst-005,21,21,23,7339.0,58.712,7340.0,58.72,7341.0,58.728,7440,59.52,100.0,0.8,0.016,0.002929999999999988,1.0,excluded_by_both,True,True,True,False,False,unassigned,125,envelope_plateau,envelope_plateau_v1,frozen_llm_scipy_find_peaks,True,True,False,7339,7339,7339,7340,7340,7340,7342,7341,7342,5
bidmc-05-fg-0023,5,23,featuregraph_only,burst,bidmc-05-burst-005,21,22,24,7341.0,58.728,7343.0,58.744,7344.0,58.752,7443,59.544,100.0,0.8,0.024,0.0048900000000000055,0.6666666666666667,excluded_by_both,True,True,True,False,False,unassigned,125,envelope_plateau,envelope_plateau_v1,frozen_llm_scipy_find_peaks,True,True,False,7342,7341,7342,7343,7343,7343,7345,7344,7345,5
bidmc-05-fg-0024,5,24,featuregraph_only,burst,bidmc-05-burst-005,21,23,25,7344.0,58.752,7346.0,58.768,7347.0,58.776,7446,59.568,100.0,0.8,0.024,0.003909999999999997,0.6666666666666667,excluded_by_both,True,True,True,False,False,unassigned,125,envelope_plateau,envelope_plateau_v1,frozen_llm_scipy_find_peaks,True,True,False,7345,7344,7345,7346,7346,7346,7348,7347,7348,5
bidmc-05-fg-0025,5,25,featuregraph_only,burst,bidmc-05-burst-005,21,24,26,7347.0,58.776,7349.0,58.792,7350.0,58.8,7449,59.592,100.0,0.8,0.024,0.002929999999999988,0.6666666666666667,excluded_by_both,True,True,True,False,False,unassigned,125,envelope_plateau,envelope_plateau_v1,frozen_llm_scipy_find_peaks,True,True,False,7348,7347,7348,7349,7349,7349,7351,7350,7351,5
bidmc-05-fg-0026,5,26,featuregraph_only,burst,bidmc-05-burst-005,21,25,27,7350.0,58.8,7352.0,58.816,7353.0,58.824,7452,59.616,100.0,0.8,0.024,0.0019500000000000073,0.6666666666666667,excluded_by_both,True,True,True,False,False,unassigned,125,envelope_plateau,envelope_plateau_v1,frozen_llm_scipy_find_peaks,True,True,False,7351,7350,7351,7352,7352,7352,7354,7353,7354,5
bidmc-05-fg-0027,5,27,featuregraph_only,burst,bidmc-05-burst-005,21,26,28,7353.0,58.824,7355.0,58.84,7356.0,58.848,7455,59.64,100.0,0.8,0.024,0.0019600000000000173,0.6666666666666667,excluded_by_both,True,True,True,False,False,unassigned,125,envelope_plateau,envelope_plateau_v1,frozen_llm_scipy_find_peaks,True,True,False,7354,7353,7354,7355,7355,7355,7357,7356,7357,5
bidmc-05-fg-0028,5,28,featuregraph_only,burst,bidmc-05-burst-005,21,27,29,7356.0,58.848,7358.0,58.864,7359.0,58.872,7458,59.664,100.0,0.8,0.024,0.0009699999999999986,0.6666666666666667,excluded_by_both,True,True,True,False,False,unassigned,125,envelope_plateau,envelope_plateau_v1,frozen_llm_scipy_find_peaks,True,True,False,7357,7356,7357,7358,7358,7358,7360,7359,7360,5
bidmc-05-fg-0029,5,29,featuregraph_only,burst,bidmc-05-burst-005,21,28,30,7359.0,58.872,7361.0,58.888,7362.0,58.896,7461,59.688,100.0,0.8,0.024,0.0009800000000000086,0.6666666666666667,excluded_by_both,True,True,True,False,False,unassigned,125,envelope_plateau,envelope_plateau_v1,frozen_llm_scipy_find_peaks,True,True,False,7360,7359,7360,7361,7361,7361,7363,7362,7363,5
bidmc-05-fg-0030,5,30,featuregraph_only,burst,bidmc-05-burst-005,21,29,31,7362.0,58.896,7364.0,58.912,7365.0,58.92,7464,59.712,100.0,0.8,0.024,0.0019500000000000073,0.6666666666666667,excluded_by_both,True,True,True,False,False,unassigned,125,envelope_plateau,envelope_plateau_v1,frozen_llm_scipy_find_peaks,True,True,False,7363,7362,7363,7364,7364,7364,7366,7365,7366,5
bidmc-05-fg-0031,5,31,featuregraph_only,burst,bidmc-05-burst-005,21,30,32,7365.0,58.92,7367.0,58.936,7368.0,58.944,7467,59.736,100.0,0.8,0.024,0.0009799999999999809,0.6666666666666667,excluded_by_both,True,True,True,False,False,unassigned,125,envelope_plateau,envelope_plateau_v1,frozen_llm_scipy_find_peaks,True,True,False,7366,7365,7366,7367,7367,7367,7369,7368,7369,5
bidmc-05-fg-0032,5,32,featuregraph_only,burst,bidmc-05-burst-005,21,31,33,7368.0,58.944,7370.0,58.96,7371.0,58.968,7470,59.76,100.0,0.8,0.024,0.0009800000000000086,0.6666666666666667,excluded_by_both,True,True,True,False,False,unassigned,125,envelope_plateau,envelope_plateau_v1,frozen_llm_scipy_find_peaks,True,True,False,7369,7368,7369,7370,7370,7370,7371,7371,7371,5
bidmc-05-fg-0033,5,33,featuregraph_only,burst,bidmc-05-burst-005,21,32,34,7371.0,58.968,7372.0,58.976,7373.0,58.984,7472,59.776,100.0,0.8,0.016,0.0019499999999999795,1.0,excluded_by_both,True,True,True,False,False,unassigned,125,envelope_plateau,envelope_plateau_v1,frozen_llm_scipy_find_peaks,True,True,False,7371,7371,7371,7372,7372,7372,7374,7373,7374,5
bidmc-05-fg-0034,5,34,featuregraph_only,burst,bidmc-05-burst-005,21,33,35,7373.0,58.984,7375.0,59.0,7376.0,59.008,7475,59.8,100.0,0.8,0.024,0.0009800000000000086,0.6666666666666667,excluded_by_both,True,True,True,False,False,unassigned,125,envelope_plateau,envelope_plateau_v1,frozen_llm_scipy_find_peaks,True,True,False,7374,7373,7374,7375,7375,7375,7377,7376,7377,5
