subject,method,annotator,detected_peaks,reference_peaks,matched,detector_only,reference_only,matched_fraction_detected,matched_fraction_reference,median_absolute_error_samples,maximum_absolute_error_samples
16,llm_selected_baseline,ann2,157,155,154,3,1,0.9808917197452229,0.9935483870967742,5.0,22.0
17,featuregraph,ann1,140,137,134,6,3,0.9571428571428572,0.9781021897810219,17.0,63.0
17,featuregraph,ann2,140,138,137,3,1,0.9785714285714285,0.9927536231884058,7.0,27.0
17,llm_selected_baseline,ann1,138,137,135,3,2,0.9782608695652174,0.9854014598540146,13.0,63.0
17,llm_selected_baseline,ann2,138,138,137,1,1,0.9927536231884058,0.9927536231884058,7.0,31.0
18,featuregraph,ann1,144,144,143,1,1,0.9930555555555556,0.9930555555555556,8.0,41.0
18,featuregraph,ann2,144,144,143,1,1,0.9930555555555556,0.9930555555555556,3.0,9.0
18,llm_selected_baseline,ann1,144,144,144,0,0,1.0,1.0,9.5,46.0
18,llm_selected_baseline,ann2,144,144,144,0,0,1.0,1.0,9.0,18.0
19,featuregraph,ann1,219,118,113,106,5,0.5159817351598174,0.9576271186440678,11.0,47.0
19,featuregraph,ann2,219,128,127,92,1,0.5799086757990868,0.9921875,5.0,24.0
19,llm_selected_baseline,ann1,122,118,111,11,7,0.9098360655737705,0.940677966101695,9.0,59.0
19,llm_selected_baseline,ann2,122,128,120,2,8,0.9836065573770492,0.9375,10.0,34.0
20,featuregraph,ann1,134,122,118,16,4,0.8805970149253731,0.9672131147540983,14.0,63.0
20,featuregraph,ann2,134,120,119,15,1,0.8880597014925373,0.9916666666666667,6.0,49.0
20,llm_selected_baseline,ann1,128,122,118,10,4,0.921875,0.9672131147540983,14.0,59.0
20,llm_selected_baseline,ann2,128,120,119,9,1,0.9296875,0.9916666666666667,9.0,60.0
21,featuregraph,ann1,159,143,142,17,1,0.8930817610062893,0.993006993006993,7.0,60.0
21,featuregraph,ann2,159,144,143,16,1,0.89937106918239,0.9930555555555556,5.0,52.0
21,llm_selected_baseline,ann1,150,143,139,11,4,0.9266666666666666,0.972027972027972,6.0,40.0
21,llm_selected_baseline,ann2,150,144,142,8,2,0.9466666666666667,0.9861111111111112,7.0,52.0
22,featuregraph,ann1,150,150,149,1,1,0.9933333333333333,0.9933333333333333,8.0,43.0
22,featuregraph,ann2,150,150,149,1,1,0.9933333333333333,0.9933333333333333,5.0,26.0
22,llm_selected_baseline,ann1,151,150,150,1,0,0.9933774834437086,1.0,6.0,40.0
22,llm_selected_baseline,ann2,151,150,150,1,0,0.9933774834437086,1.0,4.0,25.0
23,featuregraph,ann1,192,143,142,50,1,0.7395833333333334,0.993006993006993,7.0,46.0
23,featuregraph,ann2,192,144,142,50,2,0.7395833333333334,0.9861111111111112,3.0,23.0
23,llm_selected_baseline,ann1,149,143,142,7,1,0.9530201342281879,0.993006993006993,5.0,56.0
23,llm_selected_baseline,ann2,149,144,142,7,2,0.9530201342281879,0.9861111111111112,7.0,31.0
24,featuregraph,ann1,179,180,179,0,1,1.0,0.9944444444444445,6.0,20.0
24,featuregraph,ann2,179,180,179,0,1,1.0,0.9944444444444445,4.0,19.0
24,llm_selected_baseline,ann1,180,180,180,0,0,1.0,1.0,5.0,21.0
24,llm_selected_baseline,ann2,180,180,180,0,0,1.0,1.0,4.0,25.0
25,featuregraph,ann1,159,129,127,32,2,0.7987421383647799,0.9844961240310077,6.0,43.0
25,featuregraph,ann2,159,129,127,32,2,0.7987421383647799,0.9844961240310077,3.0,17.0
25,llm_selected_baseline,ann1,128,129,128,0,1,1.0,0.9922480620155039,11.0,29.0
25,llm_selected_baseline,ann2,128,129,128,0,1,1.0,0.9922480620155039,12.0,30.0
26,featuregraph,ann1,156,131,125,31,6,0.8012820512820513,0.9541984732824428,19.0,62.0
26,featuregraph,ann2,156,137,132,24,5,0.8461538461538461,0.9635036496350365,6.0,35.0
26,llm_selected_baseline,ann1,143,131,126,17,5,0.8811188811188811,0.9618320610687023,15.5,62.0
26,llm_selected_baseline,ann2,143,137,130,13,7,0.9090909090909091,0.948905109489051,10.0,49.0
27,featuregraph,ann1,140,82,55,85,27,0.39285714285714285,0.6707317073170732,22.0,62.0
27,featuregraph,ann2,140,89,79,61,10,0.5642857142857143,0.8876404494382022,5.0,63.0
27,llm_selected_baseline,ann1,90,82,48,42,34,0.5333333333333333,0.5853658536585366,30.0,61.0
27,llm_selected_baseline,ann2,90,89,70,20,19,0.7777777777777778,0.7865168539325843,17.0,63.0
28,featuregraph,ann1,148,145,145,3,0,0.9797297297297297,1.0,9.0,55.0
28,featuregraph,ann2,148,144,144,4,0,0.972972972972973,1.0,4.0,35.0
28,llm_selected_baseline,ann1,146,145,145,1,0,0.9931506849315068,1.0,10.0,39.0
28,llm_selected_baseline,ann2,146,144,144,2,0,0.9863013698630136,1.0,6.0,45.0
29,featuregraph,ann1,159,150,135,24,15,0.8490566037735849,0.9,26.0,63.0
29,featuregraph,ann2,159,151,147,12,4,0.9245283018867925,0.9735099337748344,5.0,57.0
29,llm_selected_baseline,ann1,150,150,143,7,7,0.9533333333333334,0.9533333333333334,18.0,61.0
29,llm_selected_baseline,ann2,150,151,138,12,13,0.92,0.9139072847682119,22.0,62.0
30,featuregraph,ann1,152,149,149,3,0,0.9802631578947368,1.0,7.0,25.0
30,featuregraph,ann2,152,149,149,3,0,0.9802631578947368,1.0,3.0,18.0
30,llm_selected_baseline,ann1,151,149,149,2,0,0.9867549668874173,1.0,7.0,55.0
30,llm_selected_baseline,ann2,151,149,148,3,1,0.9801324503311258,0.9932885906040269,7.0,29.0
31,featuregraph,ann1,160,144,144,16,0,0.9,1.0,9.0,45.0
31,featuregraph,ann2,160,143,143,17,0,0.89375,1.0,4.0,19.0
31,llm_selected_baseline,ann1,151,144,144,7,0,0.9536423841059603,1.0,8.0,32.0
31,llm_selected_baseline,ann2,151,143,143,8,0,0.9470198675496688,1.0,10.0,30.0
32,featuregraph,ann1,196,197,196,0,1,1.0,0.9949238578680203,8.0,45.0
32,featuregraph,ann2,196,197,196,0,1,1.0,0.9949238578680203,3.0,43.0
32,llm_selected_baseline,ann1,197,197,197,0,0,1.0,1.0,8.0,38.0
32,llm_selected_baseline,ann2,197,197,197,0,0,1.0,1.0,8.0,33.0
33,featuregraph,ann1,169,107,104,65,3,0.6153846153846154,0.9719626168224299,13.0,55.0
33,featuregraph,ann2,169,106,100,69,6,0.591715976331361,0.9433962264150944,6.0,59.0
33,llm_selected_baseline,ann1,114,107,101,13,6,0.8859649122807017,0.9439252336448598,16.0,63.0
33,llm_selected_baseline,ann2,114,106,102,12,4,0.8947368421052632,0.9622641509433962,6.0,43.0
34,featuregraph,ann1,147,136,136,11,0,0.9251700680272109,1.0,6.0,61.0
34,featuregraph,ann2,147,141,141,6,0,0.9591836734693877,1.0,3.0,34.0
34,llm_selected_baseline,ann1,142,136,135,7,1,0.9507042253521126,0.9926470588235294,9.0,44.0
34,llm_selected_baseline,ann2,142,141,140,2,1,0.9859154929577465,0.9929078014184397,9.0,41.0
35,featuregraph,ann1,141,142,139,2,3,0.9858156028368794,0.9788732394366197,10.0,36.0
35,featuregraph,ann2,141,140,138,3,2,0.9787234042553191,0.9857142857142858,4.5,19.0
35,llm_selected_baseline,ann1,159,142,139,20,3,0.8742138364779874,0.9788732394366197,10.0,40.0
35,llm_selected_baseline,ann2,159,140,140,19,0,0.8805031446540881,1.0,5.0,50.0
36,featuregraph,ann1,149,148,148,1,0,0.9932885906040269,1.0,12.0,52.0
36,featuregraph,ann2,149,147,147,2,0,0.9865771812080537,1.0,3.0,40.0
36,llm_selected_baseline,ann1,147,148,147,0,1,1.0,0.9932432432432432,13.0,48.0
36,llm_selected_baseline,ann2,147,147,147,0,0,1.0,1.0,24.0,59.0
37,featuregraph,ann1,175,149,145,30,4,0.8285714285714286,0.9731543624161074,13.0,62.0
37,featuregraph,ann2,175,149,143,32,6,0.8171428571428572,0.959731543624161,4.0,43.0
37,llm_selected_baseline,ann1,153,149,143,10,6,0.934640522875817,0.959731543624161,12.0,46.0
37,llm_selected_baseline,ann2,153,149,146,7,3,0.954248366013072,0.9798657718120806,8.0,60.0
38,featuregraph,ann1,138,122,117,21,5,0.8478260869565217,0.9590163934426229,13.0,62.0
38,featuregraph,ann2,138,128,127,11,1,0.9202898550724637,0.9921875,7.0,42.0
38,llm_selected_baseline,ann1,135,122,113,22,9,0.837037037037037,0.9262295081967213,11.0,56.0
38,llm_selected_baseline,ann2,135,128,123,12,5,0.9111111111111111,0.9609375,13.0,62.0
39,featuregraph,ann1,113,114,113,0,1,1.0,0.9912280701754386,12.0,48.0
39,featuregraph,ann2,113,114,113,0,1,1.0,0.9912280701754386,11.0,38.0
39,llm_selected_baseline,ann1,180,114,112,68,2,0.6222222222222222,0.9824561403508771,13.5,51.0
39,llm_selected_baseline,ann2,180,114,114,66,0,0.6333333333333333,1.0,12.5,52.0
40,featuregraph,ann1,147,126,122,25,4,0.8299319727891157,0.9682539682539683,9.0,51.0
40,featuregraph,ann2,147,132,127,20,5,0.8639455782312925,0.9621212121212122,5.0,29.0
40,llm_selected_baseline,ann1,144,126,120,24,6,0.8333333333333334,0.9523809523809523,10.0,55.0
40,llm_selected_baseline,ann2,144,132,128,16,4,0.8888888888888888,0.9696969696969697,7.0,54.0
41,featuregraph,ann1,126,109,109,17,0,0.8650793650793651,1.0,10.0,61.0
41,featuregraph,ann2,126,109,109,17,0,0.8650793650793651,1.0,4.0,23.0
41,llm_selected_baseline,ann1,113,109,109,4,0,0.9646017699115044,1.0,11.0,38.0
41,llm_selected_baseline,ann2,113,109,109,4,0,0.9646017699115044,1.0,11.0,39.0
42,featuregraph,ann1,138,138,138,0,0,1.0,1.0,5.0,26.0
42,featuregraph,ann2,138,138,138,0,0,1.0,1.0,5.0,26.0
42,llm_selected_baseline,ann1,138,138,138,0,0,1.0,1.0,6.0,28.0
42,llm_selected_baseline,ann2,138,138,138,0,0,1.0,1.0,7.0,24.0
43,featuregraph,ann1,142,140,139,3,1,0.9788732394366197,0.9928571428571429,7.0,40.0
43,featuregraph,ann2,142,140,139,3,1,0.9788732394366197,0.9928571428571429,5.0,37.0
43,llm_selected_baseline,ann1,140,140,139,1,1,0.9928571428571429,0.9928571428571429,8.0,39.0
43,llm_selected_baseline,ann2,140,140,139,1,1,0.9928571428571429,0.9928571428571429,11.0,46.0
44,featuregraph,ann1,136,132,2,134,130,0.014705882352941176,0.015151515151515152,49.0,57.0
44,featuregraph,ann2,136,132,131,5,1,0.9632352941176471,0.9924242424242424,4.0,61.0
44,llm_selected_baseline,ann1,133,132,0,133,132,0.0,0.0,,
44,llm_selected_baseline,ann2,133,132,130,3,2,0.9774436090225563,0.9848484848484849,18.5,63.0
45,featuregraph,ann1,130,128,128,2,0,0.9846153846153847,1.0,16.0,62.0
45,featuregraph,ann2,130,128,126,4,2,0.9692307692307692,0.984375,4.0,40.0
45,llm_selected_baseline,ann1,128,128,128,0,0,1.0,1.0,8.0,35.0
45,llm_selected_baseline,ann2,128,128,128,0,0,1.0,1.0,16.5,55.0
46,featuregraph,ann1,156,95,88,68,7,0.5641025641025641,0.9263157894736842,19.5,63.0
46,featuregraph,ann2,156,123,117,39,6,0.75,0.9512195121951219,8.0,56.0
46,llm_selected_baseline,ann1,134,95,82,52,13,0.6119402985074627,0.8631578947368421,16.0,61.0
46,llm_selected_baseline,ann2,134,123,113,21,10,0.8432835820895522,0.9186991869918699,13.0,58.0
47,featuregraph,ann1,178,178,177,1,1,0.9943820224719101,0.9943820224719101,4.0,59.0
47,featuregraph,ann2,178,176,175,3,1,0.9831460674157303,0.9943181818181818,3.0,14.0
47,llm_selected_baseline,ann1,178,178,177,1,1,0.9943820224719101,0.9943820224719101,6.0,34.0
47,llm_selected_baseline,ann2,178,176,176,2,0,0.9887640449438202,1.0,6.0,45.0
48,featuregraph,ann1,146,140,136,10,4,0.9315068493150684,0.9714285714285714,7.0,60.0
48,featuregraph,ann2,146,141,139,7,2,0.952054794520548,0.9858156028368794,5.0,44.0
48,llm_selected_baseline,ann1,144,140,137,7,3,0.9513888888888888,0.9785714285714285,8.0,62.0
48,llm_selected_baseline,ann2,144,141,139,5,2,0.9652777777777778,0.9858156028368794,9.0,30.0
49,featuregraph,ann1,139,139,137,2,2,0.9856115107913669,0.9856115107913669,9.0,49.0
49,featuregraph,ann2,139,138,137,2,1,0.9856115107913669,0.9927536231884058,4.0,39.0
49,llm_selected_baseline,ann1,137,139,137,0,2,1.0,0.9856115107913669,8.0,33.0
49,llm_selected_baseline,ann2,137,138,136,1,2,0.9927007299270073,0.9855072463768116,9.0,37.0
50,featuregraph,ann1,118,118,118,0,0,1.0,1.0,9.5,33.0
50,featuregraph,ann2,118,118,118,0,0,1.0,1.0,7.0,38.0
50,llm_selected_baseline,ann1,118,118,118,0,0,1.0,1.0,10.0,51.0
50,llm_selected_baseline,ann2,118,118,118,0,0,1.0,1.0,7.0,40.0
51,featuregraph,ann1,146,147,146,0,1,1.0,0.9931972789115646,7.0,36.0
51,featuregraph,ann2,146,147,146,0,1,1.0,0.9931972789115646,3.0,27.0
51,llm_selected_baseline,ann1,146,147,146,0,1,1.0,0.9931972789115646,8.0,28.0
51,llm_selected_baseline,ann2,146,147,146,0,1,1.0,0.9931972789115646,11.0,30.0
52,featuregraph,ann1,149,148,147,2,1,0.9865771812080537,0.9932432432432432,5.0,42.0
52,featuregraph,ann2,149,148,147,2,1,0.9865771812080537,0.9932432432432432,3.0,17.0
52,llm_selected_baseline,ann1,147,148,147,0,1,1.0,0.9932432432432432,14.0,33.0
52,llm_selected_baseline,ann2,147,148,147,0,1,1.0,0.9932432432432432,14.0,38.0
53,featuregraph,ann1,155,156,154,1,2,0.9935483870967742,0.9871794871794872,9.0,46.0
53,featuregraph,ann2,155,155,155,0,0,1.0,1.0,4.0,48.0
53,llm_selected_baseline,ann1,155,156,154,1,2,0.9935483870967742,0.9871794871794872,10.0,47.0
53,llm_selected_baseline,ann2,155,155,155,0,0,1.0,1.0,11.0,37.0
