subject,featuregraph_object_id,start_index,peak_index,end_index,is_complete,period_seconds,full_excursion,temporal_symmetry,transition_complete,plateau_boundary_ambiguous,plateau_invalidated_complete,start_trough_transition_index,start_trough_start_index,start_trough_end_index,peak_transition_index,peak_start_index,peak_end_index,end_trough_transition_index,end_trough_start_index,end_trough_end_index,peak_detection_index,peak_detection_latency_samples,peak_detection_latency_seconds
11,43,18115.0,18116.0,18116.0,False,0.032,0.0,0.0,True,True,True,18115,18115,18115,18116,18116,18117,18117,18116,18117,18217,101.0,0.808
11,127,57179.0,57180.0,57180.0,False,2.432,0.0,0.0,True,True,True,57179,57179,57179,57180,57180,57181,57181,57180,57181,57281,101.0,0.808
11,133,59422.0,59659.0,59422.0,False,3.696,0.533,,False,True,False,59423,59421,59423,59659,59659,59659,59423,59421,59423,59759,100.0,0.8
12,151,59776.0,59544.0,59776.0,False,0.0,0.49657599999999996,,False,True,False,59776,59776,59776,59519,59519,59569,59776,59776,59776,59669,125.0,1.0
13,65,21430.0,21546.0,21546.0,False,2.728,0.14368999999999998,0.0,True,True,True,21430,21430,21430,21545,21545,21548,21548,21545,21548,21648,102.0,0.816
13,72,22560.0,22674.0,22674.0,False,1.824,0.13782999999999998,0.0,True,True,True,22560,22560,22560,22674,22674,22675,22675,22674,22675,22775,101.0,0.808
13,175,42560.0,42671.0,42671.0,False,1.808,0.10849999999999999,0.0,True,True,True,42560,42560,42560,42670,42670,42673,42673,42670,42673,42773,102.0,0.816
13,225,54209.0,54222.0,54222.0,False,1.816,0.020529999999999993,0.0,True,True,True,54209,54209,54209,54221,54221,54223,54223,54221,54223,54323,101.0,0.808
13,246,59741.0,59845.0,59741.0,False,0.856,0.0958,,False,True,False,59742,59741,59742,59844,59844,59847,59742,59741,59742,59947,102.0,0.816
14,8,2701.0,2831.0,2831.0,False,2.696,0.237165,0.0,True,True,True,2701,2701,2701,2799,2799,2863,2863,2799,2863,2963,132.0,1.056
14,109,40570.0,40652.0,40652.0,False,1.688,0.202935,0.0,True,True,True,40570,40570,40570,40649,40649,40656,40656,40649,40656,40756,104.0,0.832
14,141,51659.0,51700.0,51700.0,False,1.976,0.13202999999999998,0.0,True,True,True,51659,51659,51659,51693,51693,51707,51707,51693,51707,51807,107.0,0.856
14,166,59808.0,59539.0,59808.0,False,0.0,0.13446999999999998,,False,True,False,59808,59808,59808,59539,59539,59539,59808,59808,59808,59639,100.0,0.8
15,22,8658.0,8729.0,8729.0,False,1.584,0.4401,0.0,True,True,True,8658,8658,8658,8729,8729,8730,8730,8729,8730,8830,101.0,0.808
15,140,59795.0,59594.0,59795.0,False,0.0,0.10758,,False,True,False,59795,59795,59795,59593,59593,59595,59795,59795,59795,59695,101.0,0.808
16,157,59522.0,59748.0,59522.0,False,3.432,1.0,,False,True,False,59523,59522,59523,59719,59719,59777,59523,59522,59523,59877,129.0,1.032
17,141,59887.0,59614.0,59887.0,False,0.0,0.0,,False,True,False,59887,59887,59887,59567,59567,59661,59887,59887,59887,59761,147.0,1.176
18,17,6969.0,6988.0,6988.0,False,1.88,0.021999999999999992,0.0,True,True,True,6970,6969,6970,6984,6984,6992,6992,6984,6992,7092,104.0,0.832
18,145,59898.0,59693.0,59898.0,False,0.0,0.0024399999999999977,,False,True,False,59898,59898,59898,59690,59690,59696,59898,59898,59898,59796,103.0,0.824
19,26,891.0,1013.0,1013.0,False,1.976,0.11684999999999998,0.0,True,True,True,891,891,891,1012,1012,1014,1014,1012,1014,1114,101.0,0.808
19,58,10634.0,10771.0,10771.0,False,2.648,0.10824000000000003,0.0,True,True,True,10635,10634,10635,10745,10745,10798,10798,10745,10798,10898,127.0,1.016
19,93,23530.0,23629.0,23629.0,False,1.992,0.08979000000000001,0.0,True,True,True,23530,23530,23530,23628,23628,23630,23630,23628,23630,23730,101.0,0.808
19,130,29156.0,29295.0,29295.0,False,2.424,0.10209000000000001,0.0,True,True,True,29156,29156,29156,29295,29295,29296,29296,29295,29296,29396,101.0,0.808
19,148,34632.0,34725.0,34725.0,False,1.824,0.09717,0.0,True,True,True,34632,34632,34632,34725,34725,34726,34726,34725,34726,34826,101.0,0.808
19,158,38032.0,38139.0,38139.0,False,4.184,0.157439,0.0,True,True,True,38033,38032,38033,38137,38137,38141,38141,38137,38141,38241,102.0,0.816
19,170,42038.0,42173.0,42173.0,False,2.376,0.08978999999999998,0.0,True,True,True,42038,42038,42038,42172,42172,42175,42175,42172,42175,42275,102.0,0.816
19,220,59838.0,59649.0,59838.0,False,0.0,0.036900000000000016,,False,True,False,59839,59838,59839,59649,59649,59649,59839,59838,59839,59749,100.0,0.8
20,134,59540.0,59788.0,59540.0,False,5.056,0.89736,,False,True,False,59540,59540,59540,59715,59715,59861,59540,59540,59540,59961,173.0,1.384
21,159,59739.0,59899.0,59739.0,False,2.672,0.958944,,False,True,False,59739,59739,59739,59899,59899,59900,59739,59739,59739,60000,101.0,0.808
22,150,59631.0,59833.0,59631.0,False,3.36,0.960899,,False,True,False,59631,59631,59631,59795,59795,59871,59631,59631,59631,59971,138.0,1.104
23,46,14903.0,14911.0,14911.0,False,1.872,0.01466999999999996,0.0,True,True,True,14903,14903,14903,14910,14910,14913,14913,14910,14913,15013,102.0,0.816
23,51,16131.0,16137.0,16137.0,False,1.584,0.0048900000000000055,0.0,True,True,True,16131,16131,16131,16137,16137,16138,16138,16137,16138,16238,101.0,0.808
23,54,16979.0,16998.0,16998.0,False,1.896,0.07135000000000002,0.0,True,True,True,16979,16979,16979,16997,16997,17000,17000,16997,17000,17100,102.0,0.816
23,101,34773.0,34777.0,34777.0,False,1.888,0.005860000000000032,0.0,True,True,True,34773,34773,34773,34777,34777,34778,34778,34777,34778,34878,101.0,0.808
23,193,59761.0,59527.0,59761.0,False,0.0,0.43891,,False,True,False,59761,59761,59761,59527,59527,59527,59761,59761,59761,59627,100.0,0.8
24,179,59586.0,59756.0,59586.0,False,2.672,0.8817200000000001,,False,True,False,59586,59586,59586,59737,59737,59775,59586,59586,59586,59875,119.0,0.952
25,160,59758.0,59452.0,59758.0,False,0.0,1.20538,,False,True,False,59758,59758,59758,59451,59451,59453,59758,59758,59758,59553,101.0,0.808
26,156,59878.0,59888.0,59878.0,False,1.248,0.012709999999999999,,False,True,False,59878,59878,59878,59887,59887,59890,59878,59878,59878,59990,102.0,0.816
27,60,26475.0,26737.0,26737.0,False,4.944,0.18446099999999999,0.0,True,True,True,26476,26475,26476,26724,26724,26750,26750,26724,26750,26850,113.0,0.904
27,63,27843.0,28105.0,28105.0,False,3.792,0.196115,0.0,True,True,True,27844,27843,27844,28085,28085,28125,28125,28085,28125,28225,120.0,0.96
27,77,30852.0,30853.0,30853.0,False,0.224,0.0019399999999999973,0.0,True,True,True,30852,30852,30852,30853,30853,30854,30854,30853,30854,30954,101.0,0.808
27,83,33369.0,33657.0,33657.0,False,5.384,0.217472,0.0,True,True,True,33369,33369,33369,33640,33640,33674,33674,33640,33674,33774,117.0,0.936
27,107,43522.0,43810.0,43810.0,False,5.24,0.236891,0.0,True,True,True,43523,43522,43523,43803,43803,43817,43817,43803,43817,43917,107.0,0.856
27,111,45652.0,45892.0,45892.0,False,3.888,0.35534299999999996,0.0,True,True,True,45652,45652,45652,45881,45881,45904,45904,45881,45904,46004,112.0,0.896
27,113,46397.0,46590.0,46590.0,False,4.552,0.240774,0.0,True,True,True,46401,46393,46401,46550,46550,46631,46631,46550,46631,46731,141.0,1.128
27,136,58877.0,58882.0,58882.0,False,0.072,0.013590000000000019,0.0,True,True,True,58878,58877,58878,58879,58879,58885,58885,58879,58885,58985,103.0,0.824
27,140,59564.0,59816.0,59564.0,False,2.856,0.7398020000000001,,False,True,False,59564,59564,59564,59815,59815,59817,59564,59564,59564,59917,101.0,0.808
28,148,59540.0,59749.0,59540.0,False,3.272,1.0,,False,True,False,59540,59540,59540,59681,59681,59817,59540,59540,59540,59917,168.0,1.344
29,140,51774.0,51942.0,51942.0,False,3.08,0.35484,0.0,True,True,True,51774,51774,51774,51942,51942,51943,51943,51942,51943,52043,101.0,0.808
29,159,59606.0,59749.0,59606.0,False,1.936,0.27175,,False,True,False,59607,59606,59607,59748,59748,59751,59607,59606,59607,59851,102.0,0.816
30,33,12921.0,12925.0,12925.0,False,1.12,0.0015399999999999858,0.0,True,True,True,12922,12921,12922,12923,12923,12927,12927,12923,12927,13027,102.0,0.816
30,153,59669.0,59395.0,59669.0,False,0.0,0.210197,,False,True,False,59670,59669,59670,59351,59351,59439,59670,59669,59670,59539,144.0,1.152
31,161,59780.0,59571.0,59780.0,False,0.0,0.303028,,False,True,False,59780,59780,59780,59570,59570,59572,59780,59780,59780,59672,101.0,0.808
32,197,59863.0,59709.0,59863.0,False,0.0,0.211646,,False,True,False,59863,59863,59863,59709,59709,59709,59863,59863,59863,59809,100.0,0.8
33,136,48002.0,48179.0,48179.0,False,3.12,0.88856,0.0,True,True,True,48002,48002,48002,48179,48179,48180,48180,48179,48180,48280,101.0,0.808
33,170,59839.0,59831.0,59839.0,False,0.0,0.23070000000000002,,False,True,False,59839,59839,59839,59829,59829,59833,59839,59839,59839,59933,102.0,0.816
34,6,2393.0,2453.0,2453.0,False,2.944,0.05947999999999998,0.0,True,True,True,2393,2393,2393,2436,2436,2470,2470,2436,2470,2570,117.0,0.936
34,108,42746.0,42747.0,42747.0,False,1.552,0.0,0.0,True,True,True,42746,42746,42746,42747,42747,42748,42748,42747,42748,42848,101.0,0.808
34,147,59480.0,59766.0,59480.0,False,3.64,0.97398,,False,True,False,59480,59480,59480,59765,59765,59767,59480,59480,59480,59867,101.0,0.808
35,141,59431.0,59689.0,59431.0,False,3.992,1.0,,False,True,False,59475,59387,59475,59594,59594,59784,59475,59387,59475,59884,195.0,1.56
36,150,59894.0,59748.0,59894.0,False,0.0,0.054368999999999994,,False,True,False,59894,59894,59894,59747,59747,59749,59894,59894,59894,59849,101.0,0.808
37,159,53726.0,53728.0,53728.0,False,0.032,0.0,0.0,True,True,True,53727,53726,53727,53728,53728,53729,53729,53728,53729,53829,101.0,0.808
37,175,59655.0,59811.0,59655.0,False,3.368,0.654369,,False,True,False,59655,59655,59655,59811,59811,59811,59655,59655,59655,59911,100.0,0.8
38,138,59400.0,59766.0,59400.0,False,4.8,0.920821,,False,True,False,59400,59400,59400,59728,59728,59804,59400,59400,59400,59904,138.0,1.104
39,113,59327.0,59561.0,59327.0,False,4.256,1.0,,False,True,False,59354,59300,59354,59471,59471,59651,59354,59300,59354,59751,190.0,1.52
40,148,59705.0,59433.0,59705.0,False,0.0,0.7644730000000001,,False,True,False,59705,59705,59705,59399,59399,59467,59705,59705,59705,59567,134.0,1.072
41,29,10077.0,10079.0,10079.0,False,0.04,0.007330000000000003,0.0,True,True,True,10077,10077,10077,10078,10078,10081,10081,10078,10081,10181,102.0,0.816
41,30,10079.0,10127.0,10127.0,False,0.384,0.05133999999999998,0.0,True,True,True,10081,10078,10081,10125,10125,10129,10129,10125,10129,10229,102.0,0.816
41,126,59356.0,59693.0,59356.0,False,5.16,0.93154,,False,True,False,59357,59356,59357,59692,59692,59695,59357,59356,59357,59795,102.0,0.816
42,139,59861.0,59644.0,59861.0,False,0.0,0.00781824,,False,True,False,59861,59861,59861,59604,59604,59684,59861,59861,59861,59784,140.0,1.12
43,143,59743.0,59559.0,59743.0,False,0.0,0.70967,,False,True,False,59743,59743,59743,59531,59531,59587,59743,59743,59743,59687,128.0,1.024
44,137,59791.0,59649.0,59791.0,False,0.0,0.26998,,False,True,False,59791,59791,59791,59649,59649,59649,59791,59791,59791,59749,100.0,0.8
45,130,59525.0,59745.0,59525.0,False,3.592,0.34386999999999995,,False,True,False,59525,59525,59525,59741,59741,59749,59525,59525,59525,59849,104.0,0.832
46,156,59592.0,59898.0,59592.0,False,3.88,0.987051,,False,True,False,59592,59592,59592,59896,59896,59900,59592,59592,59592,60000,102.0,0.816
47,178,59684.0,59865.0,59684.0,False,2.72,1.0635400000000002,,False,True,False,59684,59684,59684,59865,59865,59865,59684,59684,59684,59965,100.0,0.8
48,147,59872.0,59748.0,59872.0,False,0.0,0.047645,,False,True,False,59872,59872,59872,59748,59748,59748,59872,59872,59872,59848,100.0,0.8
49,31,14107.0,14234.0,14234.0,False,3.28,0.34408000000000005,0.0,True,True,True,14107,14107,14107,14233,14233,14235,14235,14233,14235,14335,101.0,0.808
49,140,59753.0,59573.0,59753.0,False,0.0,0.40371,,False,True,False,59753,59753,59753,59572,59572,59575,59753,59753,59753,59675,102.0,0.816
50,118,59405.0,59652.0,59405.0,False,4.296,1.0,,False,True,False,59405,59405,59405,59604,59604,59701,59405,59405,59405,59801,149.0,1.192
51,147,59833.0,59625.0,59833.0,False,0.0,0.11246999999999999,,False,True,False,59833,59833,59833,59625,59625,59625,59833,59833,59833,59725,100.0,0.8
52,149,59600.0,59849.0,59600.0,False,3.248,0.75519,,False,True,False,59600,59600,59600,59849,59849,59849,59600,59600,59600,59949,100.0,0.8
53,156,59770.0,59576.0,59770.0,False,0.0,0.447834,,False,True,False,59770,59770,59770,59575,59575,59577,59770,59770,59770,59677,101.0,0.808
