subject,featuregraph_object_id,start_index,peak_index,end_index,is_complete,period_seconds,full_excursion,temporal_symmetry,transition_complete,plateau_boundary_ambiguous,plateau_invalidated_complete,start_trough_transition_index,start_trough_start_index,start_trough_end_index,peak_transition_index,peak_start_index,peak_end_index,end_trough_transition_index,end_trough_start_index,end_trough_end_index,peak_detection_index,peak_detection_latency_samples,peak_detection_latency_seconds,excluded_by_ann1,excluded_by_ann2,excluded_by_both_annotators
4,89,31603.0,31767.0,31780.0,True,3.048,0.06627,0.14689265536723162,True,False,False,31625,31582,31625,31765,31765,31769,31781,31780,31781,31869,102.0,0.816,True,True,True
4,93,32670.0,32726.0,32753.0,True,1.872,0.05421999999999999,0.6506024096385542,True,False,False,32671,32670,32671,32725,32725,32728,32754,32753,32754,32828,102.0,0.816,True,True,True
4,104,37233.0,37289.0,37324.0,True,1.96,0.05723,0.7692307692307692,True,False,False,37234,37233,37234,37289,37289,37289,37325,37323,37325,37389,100.0,0.8,True,True,True
4,127,46361.0,46466.0,46483.0,True,2.424,0.060240000000000016,0.2786885245901639,True,False,False,46361,46361,46361,46465,46465,46467,46484,46482,46484,46567,101.0,0.808,True,True,True
4,129,46951.0,47007.0,47035.0,True,1.968,0.05120000000000002,0.6666666666666667,True,False,False,46952,46951,46952,47007,47007,47007,47035,47035,47035,47107,100.0,0.8,True,True,True
4,134,48917.0,48923.0,48930.0,True,1.904,0.0030100000000000127,0.9230769230769231,True,False,False,48919,48916,48919,48920,48920,48927,48932,48928,48932,49027,104.0,0.832,True,True,True
4,135,48930.0,48936.0,48942.0,True,0.104,0.015060000000000018,1.0,True,False,False,48932,48928,48932,48933,48933,48940,48944,48941,48944,49040,104.0,0.832,True,True,True
4,145,52499.0,52566.0,52583.0,True,2.184,0.08433999999999997,0.40476190476190477,True,False,False,52500,52499,52500,52563,52563,52569,52583,52583,52583,52669,103.0,0.824,True,True,True
4,158,58183.0,58184.0,58185.0,True,1.808,0.0,1.0,True,False,False,58183,58183,58183,58184,58184,58184,58185,58185,58185,58284,100.0,0.8,True,True,True
4,159,58185.0,58186.0,58187.0,True,0.016,0.0,1.0,True,False,False,58185,58185,58185,58186,58186,58186,58187,58187,58187,58286,100.0,0.8,True,True,True
5,1,284.0,695.0,737.0,True,,0.24145,0.1854304635761589,True,False,False,324,244,324,695,695,695,738,737,738,795,100.0,0.8,True,True,True
5,4,1552.0,1917.0,1932.0,True,5.192,0.23069,0.07894736842105265,True,False,False,1593,1512,1593,1916,1916,1919,1932,1932,1932,2019,102.0,0.816,True,True,True
5,9,4078.0,4297.0,4319.0,True,3.92,0.18377,0.18257261410788383,True,False,False,4120,4036,4120,4296,4296,4299,4320,4319,4320,4399,102.0,0.816,True,True,True
5,10,4319.0,4597.0,4645.0,True,2.4,0.09384,0.29447852760736193,True,False,False,4320,4319,4320,4597,4597,4597,4645,4645,4645,4697,100.0,0.8,True,True,True
5,13,5327.0,5593.0,5605.0,True,4.416,0.19257,0.08633093525179858,True,False,False,5367,5288,5367,5589,5589,5597,5605,5605,5605,5697,104.0,0.832,True,True,True
5,14,5605.0,5742.0,5768.0,True,1.192,0.07918,0.3190184049079755,True,False,False,5605,5605,5605,5741,5741,5743,5768,5768,5768,5843,101.0,0.808,True,True,True
5,16,6371.0,6969.0,7077.0,True,6.928,0.24829,0.30594900849858353,True,False,False,6408,6334,6408,6969,6969,6969,7077,7077,7077,7069,100.0,0.8,True,True,True
5,17,7077.0,7122.0,7169.0,True,1.224,0.04887,0.9782608695652174,True,False,False,7077,7077,7077,7121,7121,7123,7169,7169,7169,7223,101.0,0.808,True,True,True
5,18,7169.0,7280.0,7330.0,True,1.264,0.10751999999999998,0.6211180124223603,True,False,False,7169,7169,7169,7279,7279,7282,7331,7330,7331,7382,102.0,0.816,True,True,True
5,19,7330.0,7332.0,7333.0,True,0.416,0.0009800000000000086,0.6666666666666667,True,False,False,7331,7330,7331,7332,7332,7332,7334,7333,7334,7432,100.0,0.8,True,True,True
5,20,7333.0,7335.0,7336.0,True,0.024,0.0009699999999999986,0.6666666666666667,True,False,False,7334,7333,7334,7335,7335,7335,7337,7336,7337,7435,100.0,0.8,True,True,True
5,21,7336.0,7338.0,7339.0,True,0.024,0.0019600000000000173,0.6666666666666667,True,False,False,7337,7336,7337,7338,7338,7338,7339,7339,7339,7438,100.0,0.8,True,True,True
5,22,7339.0,7340.0,7341.0,True,0.016,0.002929999999999988,1.0,True,False,False,7339,7339,7339,7340,7340,7340,7342,7341,7342,7440,100.0,0.8,True,True,True
5,23,7341.0,7343.0,7344.0,True,0.024,0.0048900000000000055,0.6666666666666667,True,False,False,7342,7341,7342,7343,7343,7343,7345,7344,7345,7443,100.0,0.8,True,True,True
5,24,7344.0,7346.0,7347.0,True,0.024,0.003909999999999997,0.6666666666666667,True,False,False,7345,7344,7345,7346,7346,7346,7348,7347,7348,7446,100.0,0.8,True,True,True
5,25,7347.0,7349.0,7350.0,True,0.024,0.002929999999999988,0.6666666666666667,True,False,False,7348,7347,7348,7349,7349,7349,7351,7350,7351,7449,100.0,0.8,True,True,True
5,26,7350.0,7352.0,7353.0,True,0.024,0.0019500000000000073,0.6666666666666667,True,False,False,7351,7350,7351,7352,7352,7352,7354,7353,7354,7452,100.0,0.8,True,True,True
5,27,7353.0,7355.0,7356.0,True,0.024,0.0019600000000000173,0.6666666666666667,True,False,False,7354,7353,7354,7355,7355,7355,7357,7356,7357,7455,100.0,0.8,True,True,True
5,28,7356.0,7358.0,7359.0,True,0.024,0.0009699999999999986,0.6666666666666667,True,False,False,7357,7356,7357,7358,7358,7358,7360,7359,7360,7458,100.0,0.8,True,True,True
5,29,7359.0,7361.0,7362.0,True,0.024,0.0009800000000000086,0.6666666666666667,True,False,False,7360,7359,7360,7361,7361,7361,7363,7362,7363,7461,100.0,0.8,True,True,True
5,30,7362.0,7364.0,7365.0,True,0.024,0.0019500000000000073,0.6666666666666667,True,False,False,7363,7362,7363,7364,7364,7364,7366,7365,7366,7464,100.0,0.8,True,True,True
5,31,7365.0,7367.0,7368.0,True,0.024,0.0009799999999999809,0.6666666666666667,True,False,False,7366,7365,7366,7367,7367,7367,7369,7368,7369,7467,100.0,0.8,True,True,True
5,32,7368.0,7370.0,7371.0,True,0.024,0.0009800000000000086,0.6666666666666667,True,False,False,7369,7368,7369,7370,7370,7370,7371,7371,7371,7470,100.0,0.8,True,True,True
5,33,7371.0,7372.0,7373.0,True,0.016,0.0019499999999999795,1.0,True,False,False,7371,7371,7371,7372,7372,7372,7374,7373,7374,7472,100.0,0.8,True,True,True
5,34,7373.0,7375.0,7376.0,True,0.024,0.0009800000000000086,0.6666666666666667,True,False,False,7374,7373,7374,7375,7375,7375,7377,7376,7377,7475,100.0,0.8,True,True,True
5,35,7376.0,7378.0,7379.0,True,0.024,0.0009699999999999986,0.6666666666666667,True,False,False,7377,7376,7377,7378,7378,7378,7380,7379,7380,7478,100.0,0.8,True,True,True
5,36,7379.0,7381.0,7382.0,True,0.024,0.0009800000000000086,0.6666666666666667,True,False,False,7380,7379,7380,7381,7381,7381,7382,7382,7382,7481,100.0,0.8,True,True,True
5,40,9166.0,9575.0,9626.0,True,5.624,0.25709,0.22173913043478266,True,False,False,9208,9124,9208,9574,9574,9577,9626,9626,9626,9677,102.0,0.816,True,True,True
5,45,11573.0,11797.0,11851.0,True,4.032,0.21603,0.38848920863309355,True,False,False,11612,11534,11612,11797,11797,11797,11851,11851,11851,11897,100.0,0.8,True,True,True
5,47,12536.0,13025.0,13143.0,True,6.008,0.25122,0.38879736408566723,True,False,False,12576,12496,12576,13023,13023,13028,13143,13143,13143,13128,103.0,0.824,True,True,True
5,48,13143.0,13182.0,13229.0,True,1.256,0.04691999999999999,0.9069767441860466,True,False,False,13143,13143,13143,13181,13181,13183,13229,13229,13229,13283,101.0,0.808,True,True,True
5,52,15190.0,15393.0,15409.0,True,3.8,0.1652,0.1461187214611872,True,False,False,15220,15160,15220,15391,15391,15395,15409,15409,15409,15495,102.0,0.816,True,True,True
5,53,15409.0,15625.0,15809.0,True,1.856,0.10752999999999999,0.92,True,False,False,15409,15409,15409,15624,15624,15627,15809,15809,15809,15727,102.0,0.816,True,True,True
5,55,16345.0,16778.0,16931.0,True,5.808,0.2434,0.5221843003412969,True,False,False,16386,16304,16386,16775,16775,16781,16932,16931,16932,16881,103.0,0.824,True,True,True
5,56,16931.0,17018.0,17064.0,True,1.92,0.030299999999999994,0.6917293233082706,True,False,False,16932,16931,16932,17017,17017,17020,17065,17064,17065,17120,102.0,0.816,True,True,True
5,59,17770.0,18093.0,18115.0,True,4.896,0.24438,0.12753623188405794,True,False,False,17808,17732,17808,18091,18091,18095,18116,18115,18116,18195,102.0,0.816,True,True,True
5,62,18928.0,19471.0,19519.0,True,6.608,0.23851,0.1624365482233503,True,False,False,18966,18890,18966,19471,19471,19471,19519,19519,19519,19571,100.0,0.8,True,True,True
5,63,19519.0,19624.0,19773.0,True,1.224,0.041059999999999985,0.8267716535433071,True,False,False,19519,19519,19519,19622,19622,19627,19773,19773,19773,19727,103.0,0.824,True,True,True
5,64,19773.0,19778.0,19818.0,True,1.232,0.012709999999999999,0.2222222222222222,True,False,False,19773,19773,19773,19777,19777,19779,19818,19818,19818,19879,101.0,0.808,True,True,True
5,65,19818.0,19930.0,20050.0,True,1.216,0.04593999999999998,0.9655172413793104,True,False,False,19818,19818,19818,19929,19929,19932,20050,20050,20050,20032,102.0,0.816,True,True,True
5,66,20050.0,20162.0,20203.0,True,1.856,0.03616999999999998,0.5359477124183006,True,False,False,20050,20050,20050,20161,20161,20163,20203,20203,20203,20263,101.0,0.808,True,True,True
5,67,20203.0,20458.0,20758.0,True,2.368,1.0,0.9189189189189189,True,False,False,20203,20203,20203,20347,20347,20569,20794,20722,20794,20669,211.0,1.688,False,False,False
5,69,21426.0,21543.0,21550.0,True,2.472,0.06548999999999999,0.11290322580645162,True,False,False,21427,21426,21427,21542,21542,21545,21550,21550,21550,21645,102.0,0.816,True,True,True
5,72,22568.0,22611.0,22619.0,True,1.232,0.027370000000000005,0.3137254901960784,True,False,False,22568,22568,22568,22610,22610,22613,22620,22619,22620,22713,102.0,0.816,True,True,True
5,76,25087.0,25338.0,25446.0,True,4.248,0.22483,0.6016713091922006,True,False,False,25124,25050,25124,25337,25337,25340,25446,25446,25446,25440,102.0,0.816,True,True,True
5,79,26313.0,26802.0,26850.0,True,6.16,0.2434,0.17877094972067042,True,False,False,26350,26276,26350,26801,26801,26803,26851,26850,26851,26903,101.0,0.808,True,True,True
5,82,27719.0,28115.0,28218.0,True,5.48,0.23754,0.4128256513026052,True,False,False,27756,27682,27756,28113,28113,28117,28218,28218,28218,28217,102.0,0.816,True,True,True
5,83,28218.0,28425.0,28527.0,True,2.48,0.03811999999999999,0.6601941747572815,True,False,False,28218,28218,28218,28425,28425,28425,28527,28527,28527,28525,100.0,0.8,True,True,True
5,88,30344.0,30608.0,30625.0,True,4.288,0.20919,0.12099644128113884,True,False,False,30380,30308,30380,30607,30607,30610,30625,30625,30625,30710,102.0,0.816,True,True,True
5,89,30625.0,30762.0,30885.0,True,1.232,0.07527,0.9461538461538461,True,False,False,30625,30625,30625,30761,30761,30763,30885,30885,30885,30863,101.0,0.808,True,True,True
5,92,31689.0,32147.0,32234.0,True,5.88,0.24145,0.3192660550458716,True,False,False,31728,31650,31728,32145,32145,32149,32234,32234,32234,32249,102.0,0.816,True,True,True
5,94,32693.0,32951.0,33055.0,True,3.92,0.23069,0.574585635359116,True,False,False,32712,32674,32712,32951,32951,32951,33056,33055,33056,33051,100.0,0.8,True,True,True
5,97,33696.0,33927.0,33976.0,True,4.016,0.19746,0.35,True,False,False,33730,33662,33730,33925,33925,33929,33976,33976,33976,34029,102.0,0.816,True,True,True
5,102,35987.0,36389.0,36511.0,True,5.352,0.24536,0.46564885496183206,True,False,False,36028,35946,36028,36389,36389,36389,36511,36511,36511,36489,100.0,0.8,True,True,True
5,103,36511.0,36778.0,36883.0,True,3.112,0.11144000000000001,0.564516129032258,True,False,False,36511,36511,36511,36777,36777,36779,36883,36883,36883,36879,101.0,0.808,True,True,True
5,105,37449.0,38077.0,38185.0,True,7.336,0.24633,0.2934782608695652,True,False,False,37488,37410,37488,38077,38077,38078,38185,38185,38185,38178,101.0,0.808,True,True,True
5,106,38185.0,38386.0,38439.0,True,2.472,0.05181000000000002,0.4173228346456693,True,False,False,38185,38185,38185,38385,38385,38387,38439,38439,38439,38487,101.0,0.808,True,True,True
5,107,38439.0,38799.0,39112.0,True,3.304,1.0,0.9301634472511144,True,False,False,38439,38439,38439,38667,38667,38931,39156,39068,39156,39031,232.0,1.856,False,False,False
5,108,39112.0,39689.0,39962.0,True,7.12,0.25709,0.6423529411764706,True,False,False,39156,39068,39156,39687,39687,39691,39962,39962,39962,39791,102.0,0.816,True,True,True
5,113,41877.0,42197.0,42218.0,True,4.856,0.22483,0.12316715542521994,True,False,False,41912,41842,41912,42196,42196,42198,42218,42218,42218,42298,101.0,0.808,True,True,True
5,114,42218.0,42336.0,42391.0,True,1.112,0.08211000000000002,0.6358381502890174,True,False,False,42218,42218,42218,42329,42329,42343,42392,42391,42392,42443,107.0,0.856,True,True,True
5,117,43184.0,43657.0,43671.0,True,6.104,0.24536,0.05749486652977409,True,False,False,43222,43146,43222,43657,43657,43657,43672,43671,43672,43757,100.0,0.8,True,True,True
5,120,44428.0,44727.0,44744.0,True,4.456,0.2346,0.10759493670886078,True,False,False,44454,44402,44454,44726,44726,44729,44745,44744,44745,44829,102.0,0.816,True,True,True
5,123,45572.0,45847.0,45870.0,True,4.52,0.20821,0.15436241610738255,True,False,False,45608,45536,45608,45845,45845,45849,45870,45870,45870,45949,102.0,0.816,True,True,True
5,124,45870.0,45995.0,45997.0,True,1.184,0.07526,0.03149606299212604,True,False,False,45870,45870,45870,45995,45995,45995,45997,45997,45997,46095,100.0,0.8,True,True,True
5,125,45997.0,46099.0,46289.0,True,0.832,0.07331000000000001,0.6986301369863014,True,False,False,45997,45997,45997,46097,46097,46101,46289,46289,46289,46201,102.0,0.816,True,True,True
5,126,46289.0,46309.0,46352.0,True,1.68,0.017600000000000005,0.6349206349206349,True,False,False,46289,46289,46289,46309,46309,46309,46353,46352,46353,46409,100.0,0.8,True,True,True
5,127,46352.0,46493.0,46591.0,True,1.472,0.06939999999999999,0.8200836820083682,True,False,False,46353,46352,46353,46493,46493,46493,46591,46591,46591,46593,100.0,0.8,True,True,True
5,130,47252.0,47498.0,47549.0,True,4.336,0.22287,0.3434343434343434,True,False,False,47290,47214,47290,47496,47496,47500,47550,47549,47550,47600,102.0,0.816,True,True,True
5,131,47549.0,47808.0,47925.0,True,2.48,0.08894999999999997,0.6223404255319149,True,False,False,47550,47549,47550,47806,47806,47811,47925,47925,47925,47911,103.0,0.824,True,True,True
5,133,48434.0,48879.0,49067.0,True,5.736,0.24731,0.5939968404423381,True,False,False,48466,48402,48466,48877,48877,48881,49068,49067,49068,48981,102.0,0.816,True,True,True
5,135,49282.0,49530.0,49822.0,True,2.104,1.0,0.9185185185185185,True,False,False,49282,49282,49282,49407,49407,49653,49856,49788,49856,49753,223.0,1.784,False,False,False
5,137,50119.0,50240.0,50305.0,True,0.968,0.05376,0.6989247311827957,True,False,False,50130,50108,50130,50239,50239,50241,50306,50305,50306,50341,101.0,0.808,True,True,True
5,138,50305.0,50308.0,50312.0,True,0.544,0.0019500000000000073,0.8571428571428572,True,False,False,50306,50305,50306,50307,50307,50310,50314,50311,50314,50410,102.0,0.816,True,True,True
5,139,50312.0,50317.0,50321.0,True,0.072,0.0009799999999999809,0.8888888888888888,True,False,False,50314,50311,50314,50315,50315,50319,50323,50320,50323,50419,102.0,0.816,True,True,True
5,140,50321.0,50325.0,50329.0,True,0.064,0.003909999999999997,1.0,True,False,False,50323,50320,50323,50324,50324,50327,50331,50328,50331,50427,102.0,0.816,True,True,True
5,141,50329.0,50334.0,50338.0,True,0.072,0.005860000000000004,0.8888888888888888,True,False,False,50331,50328,50331,50332,50332,50336,50340,50337,50340,50436,102.0,0.816,True,True,True
5,143,50831.0,51020.0,51041.0,True,3.448,0.20235,0.19999999999999996,True,False,False,50864,50798,50864,51019,51019,51021,51041,51041,51041,51121,101.0,0.808,True,True,True
5,146,51985.0,52218.0,52260.0,True,4.12,0.20039,0.3054545454545454,True,False,False,52022,51948,52022,52218,52218,52219,52260,52260,52260,52319,101.0,0.808,True,True,True
5,148,52574.0,52771.0,52808.0,True,2.656,0.06450999999999998,0.3162393162393162,True,False,False,52574,52574,52574,52769,52769,52773,52808,52808,52808,52873,102.0,0.816,True,True,True
5,151,54023.0,54148.0,54261.0,True,2.472,0.07330999999999999,0.9495798319327731,True,False,False,54023,54023,54023,54147,54147,54149,54261,54261,54261,54249,101.0,0.808,True,True,True
5,153,54791.0,55047.0,55070.0,True,4.296,0.18573,0.16487455197132617,True,False,False,54828,54754,54828,55043,55043,55051,55070,55070,55070,55151,104.0,0.832,True,True,True
5,155,55326.0,55357.0,55442.0,True,1.184,0.04593999999999998,0.5344827586206897,True,False,False,55326,55326,55326,55357,55357,55358,55442,55442,55442,55458,101.0,0.808,True,True,True
5,157,55980.0,56457.0,56535.0,True,6.096,0.2434,0.2810810810810811,True,False,False,56012,55948,56012,56417,56417,56497,56536,56535,56536,56597,140.0,1.12,True,True,True
5,158,56535.0,56537.0,56538.0,True,0.64,0.0009800000000000086,0.6666666666666667,True,False,False,56536,56535,56536,56537,56537,56537,56539,56538,56539,56637,100.0,0.8,True,True,True
5,160,57155.0,57541.0,57584.0,True,5.424,0.23851,0.20046620046620045,True,False,False,57204,57106,57204,57539,57539,57543,57585,57584,57585,57643,102.0,0.816,True,True,True
5,162,58212.0,58618.0,58625.0,True,5.576,0.22776,0.03389830508474578,True,False,False,58254,58170,58254,58617,58617,58619,58626,58624,58626,58719,101.0,0.808,True,True,True
5,164,59247.0,59511.0,59544.0,True,4.36,0.20137,0.2222222222222222,True,False,False,59290,59204,59290,59510,59510,59513,59545,59544,59545,59613,102.0,0.816,True,True,True
5,165,59544.0,59830.0,59840.0,True,2.552,0.09090999999999999,0.06756756756756754,True,False,False,59545,59544,59545,59829,59829,59831,59840,59840,59840,59931,101.0,0.808,True,True,True
6,34,12296.0,12371.0,12570.0,True,1.128,0.964809,0.5474452554744526,True,False,False,12335,12257,12335,12357,12357,12385,12570,12570,12570,12485,114.0,0.912,False,True,False
7,1,98.0,177.0,369.0,True,,0.9921799,0.5830258302583026,True,False,False,98,98,98,142,142,212,369,369,369,312,135.0,1.08,False,False,False
7,127,47241.0,47424.0,47646.0,True,3.072,1.0,0.9037037037037037,True,False,False,47241,47241,47241,47396,47396,47452,47646,47646,47646,47552,128.0,1.024,False,False,False
7,128,47646.0,47671.0,47713.0,True,1.976,0.129029,0.7462686567164178,True,False,False,47646,47646,47646,47670,47670,47672,47713,47713,47713,47772,101.0,0.808,True,True,True
8,1,98.0,253.0,369.0,True,,0.25513,0.8560885608856088,True,False,False,98,98,98,252,252,254,369,369,369,354,101.0,0.808,False,False,False
8,20,6732.0,6807.0,6831.0,True,1.816,0.08994000000000002,0.48484848484848486,True,False,False,6732,6732,6732,6806,6806,6808,6832,6831,6832,6908,101.0,0.808,True,True,True
8,41,13826.0,13850.0,13866.0,True,1.472,0.029320000000000013,0.8,True,False,False,13826,13826,13826,13849,13849,13851,13866,13866,13866,13951,101.0,0.808,True,True,True
8,49,16236.0,16261.0,16293.0,True,1.568,0.04692000000000002,0.8771929824561404,True,False,False,16236,16236,16236,16261,16261,16261,16293,16293,16293,16361,100.0,0.8,True,True,True
8,57,18717.0,18733.0,18759.0,True,1.384,0.04985000000000003,0.7619047619047619,True,False,False,18717,18717,18717,18733,18733,18733,18759,18759,18759,18833,100.0,0.8,True,True,True
8,65,21266.0,21359.0,21382.0,True,1.968,0.07625000000000001,0.39655172413793105,True,False,False,21266,21266,21266,21358,21358,21361,21382,21382,21382,21461,102.0,0.816,True,True,True
8,67,21717.0,21734.0,21749.0,True,1.544,0.025409999999999988,0.9375,True,False,False,21717,21717,21717,21733,21733,21735,21749,21749,21749,21835,101.0,0.808,True,True,True
8,106,34998.0,35019.0,35045.0,True,1.504,0.050829999999999986,0.8936170212765957,True,False,False,34998,34998,34998,35019,35019,35019,35045,35045,35045,35119,100.0,0.8,True,True,True
8,110,36015.0,36016.0,36017.0,True,1.424,0.0019600000000000173,1.0,True,False,False,36015,36015,36015,36016,36016,36016,36017,36017,36017,36116,100.0,0.8,True,True,True
8,113,36741.0,36756.0,36791.0,True,1.368,0.037150000000000016,0.6,True,False,False,36741,36741,36741,36755,36755,36757,36791,36791,36791,36857,101.0,0.808,True,True,True
8,157,52052.0,52077.0,52113.0,True,1.496,0.04495999999999997,0.819672131147541,True,False,False,52052,52052,52052,52077,52077,52077,52113,52113,52113,52177,100.0,0.8,True,True,True
8,160,52841.0,52900.0,52920.0,True,1.848,0.06647000000000003,0.5063291139240507,True,False,False,52842,52841,52842,52899,52899,52902,52920,52920,52920,53002,102.0,0.816,True,True,True
9,1,131.0,317.0,497.0,True,,0.28054999999999997,0.9836065573770492,True,False,False,131,131,131,317,317,318,497,497,497,418,101.0,0.808,False,False,False
9,54,19985.0,19987.0,19989.0,True,1.36,0.0,1.0,True,False,False,19986,19985,19986,19987,19987,19987,19991,19988,19991,20087,100.0,0.8,True,True,True
9,55,19989.0,19992.0,19994.0,True,0.04,0.0009800000000000086,0.8,True,False,False,19991,19988,19991,19992,19992,19992,19996,19993,19996,20092,100.0,0.8,True,True,True
9,56,19994.0,19997.0,19999.0,True,0.04,0.0,0.8,True,False,False,19996,19993,19996,19997,19997,19997,20000,19998,20000,20097,100.0,0.8,True,True,True
9,57,19999.0,20001.0,20003.0,True,0.032,0.0009800000000000086,1.0,True,False,False,20000,19998,20000,20001,20001,20001,20005,20002,20005,20101,100.0,0.8,True,True,True
9,58,20003.0,20006.0,20008.0,True,0.04,0.0009800000000000086,0.8,True,False,False,20005,20002,20005,20006,20006,20006,20009,20007,20009,20106,100.0,0.8,True,True,True
10,3,837.0,874.0,915.0,True,1.52,0.14563000000000004,0.9487179487179487,True,False,False,837,837,837,870,870,878,916,915,916,978,104.0,0.832,True,True,True
